t,tx_x,tx_y,rx_x,rx_y,relay_available
25.2,-3878.19992231529,192.421234740628,-3780.17759139967,207.943901001501,0
25.4,-3873.84151859677,193.111424881183,-3775.75714243007,208.643916533041,0
25.6,-3869.48311487825,193.801615021737,-3771.340192641,209.343377939709,0
25.8,-3865.12471115973,194.491805162292,-3766.92674845271,210.042284204805,0
26,-3860.76630744121,195.181995302847,-3762.51681590099,210.740634372507,0
26.2,-3856.40790372269,195.872185443401,-3758.11040063657,211.438427547978,0
26.4,-3852.04950000416,196.562375583956,-3753.70750792446,212.135662897459,0
26.6,-3847.69109628564,197.252565724512,-3749.30814264337,212.832339648363,0
26.8,-3843.33269256712,197.942755865071,-3744.91230928519,213.528457089361,0
27,-3838.9742888486,198.632946005633,-3740.52001195452,214.224014570449,0
27.2,-3834.61588513009,199.323136146194,-3736.13125436816,214.919011503037,0
27.4,-3830.25748141157,200.013326286755,-3731.74603985477,215.613447360014,0
27.6,-3825.89907769305,200.703516427317,-3727.36437135444,216.307321675791,0
27.8,-3821.54067397453,201.393706567878,-3722.98625141843,217.000634046355,0
28,-3817.18227025601,202.083896708443,-3718.61168220883,217.69338412932,0
28.2,-3812.82386653749,202.774086849007,-3714.24066549838,218.385571643954,0
28.4,-3808.46546281897,203.464276989572,-3709.87320267023,219.077196371226,0
28.6,-3804.10705910045,204.154467130136,-3705.50929471782,219.768258153817,0
28.8,-3799.74865538193,204.844657270701,-3701.14894224475,220.458756896144,0
29,-3795.39025166341,205.534847411265,-3696.79214546472,221.148692564364,0
29.2,-3791.03184794489,206.22503755183,-3692.43890420151,221.838065186383,0
29.4,-3786.67344422638,206.915227692394,-3688.089217889,222.526874851851,0
29.6,-3782.31504050786,207.605417832959,-3683.74308557123,223.215121712154,0
29.8,-3777.95663678934,208.295607973523,-3679.4005059025,223.902805980393,0
30,-3773.59823307082,208.985798114088,-3675.06147714753,224.589927931366,0
30.2,-3769.2398293523,209.675988254652,-3670.72599718163,225.276487901534,0
30.4,-3764.88142563378,210.366178395216,-3666.39406349096,225.962486288986,0
30.6,-3760.52302191526,211.056368535779,-3662.0672137511,226.657499203877,0
30.8,-3756.16461819674,211.746558676342,-3657.74579537538,227.363706553933,0
31,-3751.80621447822,212.436748816906,-3653.42800086512,228.069888611985,0
31.2,-3747.4478107597,213.126938957469,-3649.11373581243,228.77549342172,0
31.4,-3743.08940704118,213.817129098032,-3644.80299576624,229.480521711117,0
31.6,-3738.73100332266,214.507319238581,-3640.49577588896,230.184974271374,0
31.8,-3734.37259960414,215.197509379127,-3636.20693205827,230.973467162241,0
32,-3730.01419588562,215.887699519673,-3631.92903888149,231.801226234081,0
32.2,-3725.6557921671,216.577889660219,-3627.660665141,232.659352356551,0
32.4,-3721.29738844858,217.268079800766,-3623.39576531695,233.516780072877,0
32.6,-3716.93898473005,217.95826994131,-3619.13433269231,234.37351073347,0
32.8,-3712.58058101153,218.648460081852,-3614.87706198079,235.233000848063,0
