t,n_sat,dop,sigma_pos,dt_upd
27.4,10.2340734376214,1.79625960930823,1.59625960930823,0.322416738267592
27.6,10.2372906537532,1.79449014043572,1.59449014043572,0.322054801452762
27.8,10.2405254413024,1.79271100728368,1.59271100728368,0.321690887853481
28,10.2437768011964,1.79092275934198,1.59092275934198,0.321325109865405
28.2,10.2470437259801,1.78912595071096,1.58912595071096,0.320957580827243
28.4,10.2503252001394,1.78732113992335,1.58732113992335,0.320588414984322
28.6,10.2536202004285,1.78550888976434,1.58550888976434,0.320217727451797
28.8,10.2569276962,1.78368976709002,1.58368976709002,0.319845634177505
29,10.2602466497378,1.7818643426442,1.5818643426442,0.319472251904495
29.2,10.2635760165936,1.78003319087354,1.58003319087354,0.319097698133224
29.4,10.2669147459248,1.77819688974134,1.57819688974134,0.318722091083457
29.6,10.2702617808369,1.77635602053972,1.57635602053972,0.318345549655851
29.8,10.2736160587264,1.77451116770047,1.57451116770047,0.317968193393277
30,10.276976511628,1.77266291860459,1.57266291860459,0.317590142441849
30.2,10.2803420665626,1.77081186339056,1.57081186339056,0.317211517511705
30.4,10.2837116458885,1.76895859476132,1.56895859476132,0.316832439837543
30.6,10.2870841676541,1.76710370779027,1.56710370779027,0.316453031138918
30.8,10.2904585459527,1.76524779972602,1.56524779972602,0.316073413580323
31,10.2938336912795,1.7633914697963,1.5633914697963,0.315693709731061
31.2,10.2972085108895,1.76153531901076,1.56153531901076,0.315314042524927
31.4,10.3005819091581,1.75967994996302,1.55967994996302,0.314934535219709
31.6,10.3039527879421,1.75782596663186,1.55782596663186,0.314555311356516
31.8,10.3073200469425,1.75597397418162,1.55597397418162,0.314176494718967
32,10.3106825840691,1.754124578762,1.554124578762,0.313798209292227
32.2,10.3140392958051,1.75227838730719,1.55227838730719,0.313420579221924
32.4,10.3173890775737,1.75043600733445,1.55043600733445,0.313043728772955
32.6,10.320730824105,1.74859804674226,1.54859804674226,0.312667782288189
32.8,10.3240634298037,1.74676511360799,1.54676511360799,0.312292864147089
33,10.3273857891176,1.7449378159853,1.5449378159853,0.311919098724265
33.2,10.330696796907,1.74311676170117,1.54311676170117,0.311546610347966
33.4,10.3339953488131,1.74130255815281,1.54130255815281,0.31117552325853
33.6,10.3372803416283,1.73949581210441,1.53949581210441,0.310805961566811
33.8,10.340550673666,1.73769712948373,1.53769712948373,0.31043804921258
34,10.3438052451294,1.73590711517881,1.53590711517881,0.310071909922938
34.2,10.3470429584824,1.73412637283468,1.53412637283468,0.30970766717073
34.4,10.3502627188178,1.73235550465019,1.53235550465019,0.309345444132994
34.6,10.3534634342271,1.73059511117508,1.53059511117508,0.308985363649448
34.8,10.3566440161686,1.72884579110726,1.52884579110726,0.30862754818103
35,10.3598033798354,1.7271081410905,1.5271081410905,0.308272119768512
35.2,10.3629404445227,1.72538275551249,1.52538275551249,0.307919199991192
35.4,10.3660541339939,1.72367022630333,1.52367022630334,0.307568909925682
35.6,10.3691433768461,1.72197114273465,1.52197114273465,0.307221370104814
35.8,10.3722071068741,1.72028609121923,1.52028609121923,0.306876700476661
36,10.3752442634338,1.71861565511143,1.51861565511143,0.306535020363703
36.2,10.3782537918032,1.71696041450824,1.51696041450824,0.306196448422139
36.4,10.3812346435433,1.71532094605117,1.51532094605117,0.305861102601376
36.6,10.3841857768561,1.71369782272912,1.51369782272912,0.305529100103684
36.8,10.3871061569418,1.71209161368202,1.51209161368202,0.30520055734405
37,10.3899947563534,1.71050288400565,1.51050288400565,0.304875589910247
37.2,10.3928505553502,1.70893219455741,1.50893219455741,0.304554312523107
37.4,10.3956725422485,1.70738010176332,1.50738010176332,0.304236838997043
37.6,10.3984597137706,1.70584715742618,1.50584715742618,0.303923282200809
37.8,10.4012110753909,1.70433390853501,1.50433390853501,0.303613754018525
38,10.4039256416802,1.70284089707589,1.50284089707589,0.303308365310977
38.2,10.4066024366471,1.70136865984409,1.50136865984409,0.3030072258772
38.4,10.4092404940768,1.69991772825777,1.49991772825777,0.302710444416363
38.6,10.4118388578669,1.69848862817318,1.49848862817318,0.302418128489968
38.8,10.4143965823611,1.69708187970141,1.49708187970141,0.302130384484379
39,10.4169127326784,1.69569799702688,1.49569799702688,0.301847317573681
39.2,10.4193863850409,1.6943374882275,1.4943374882275,0.301569031682897
39.4,10.4218166270971,1.69300085509657,1.49300085509657,0.301295629451571
39.6,10.4242025582425,1.69168859296664,1.49168859296664,0.301027212197722
39.8,10.4265432899361,1.69040119053516,1.49040119053516,0.300763879882191
40,10.4288379460143,1.68913912969213,1.48913912969213,0.300505731073391
40.2,10.4310856630003,1.68790288534983,1.48790288534983,0.300252862912465
40.4,10.43328559041,1.6866929252745,1.4866929252745,0.300005371078874
40.6,10.435436891054,1.6855097099203,1.4855097099203,0.299763349756425
40.8,10.4375387413357,1.68435369226538,1.48435369226538,0.299526891599737
41,10.439590331545,1.68322531765024,1.48322531765024,0.299296087701185
41.2,10.4415908661485,1.68212502361834,1.48212502361834,0.299071027558297
41.4,10.4435395640742,1.68105323975919,1.48105323975919,0.298851799041652
41.6,10.4454356589932,1.68001038755372,1.48001038755372,0.298638488363261
41.8,10.4472783995959,1.67899688022224,1.47899688022224,0.298431180045457
42,10.449067049864,1.67801312257481,1.47801312257481,0.298229956890303
42.2,10.4508008893375,1.67705951086435,1.47705951086435,0.298034899949526
42.4,10.4524792133779,1.67613643264216,1.47613643264216,0.297846088494988
42.6,10.4541013334249,1.67524426661633,1.47524426661633,0.297663599989704
42.8,10.4556665772496,1.67438338251274,1.47438338251274,0.297487510059425
43,10.457174289202,1.67355414093889,1.47355414093889,0.297317892464774
43.2,10.4586238304535,1.67275689325056,1.47275689325056,0.297154819073978
43.4,10.460014579234,1.67199198142129,1.47199198142129,0.296998359836173
43.6,10.4613459310639,1.67125973791487,1.47125973791487,0.296848582755314
43.8,10.4626172989806,1.67056048556068,1.47056048556068,0.296705553864685
44,10.4638281137597,1.66989453743216,1.46989453743216,0.296569337202033
44.2,10.4649778241306,1.6692621967282,1.4692621967282,0.296439994785313
44.4,10.466065896986,1.6686637566577,1.4686637566577,0.296317586589075
44.6,10.4670918175867,1.6680995003273,1.4680995003273,0.296202170521492
44.8,10.4680550897597,1.66756970063215,1.46756970063215,0.29609380240203
45,10.4689552360908,1.66707462015004,1.46707462015004,0.295992535939781
45.2,10.4697917981115,1.66661451103868,1.46661451103868,0.295898422712457
45.4,10.4705643364794,1.66618961493631,1.46618961493631,0.295811512146063
45.6,10.4712724311534,1.66580016286561,1.46580016286561,0.295731851495238
45.8,10.4719156815618,1.665446375141,1.465446375141,0.295659485824295
46,10.4724937067649,1.6651284612793,1.4651284612793,0.295594457988947
46.2,10.4730061456112,1.66484661991383,1.46484661991383,0.295536808618737
46.4,10.4734526568874,1.66460103871195,1.46460103871195,0.295486576100172
46.6,10.4738329194616,1.66439189429614,1.46439189429614,0.295443796560574
46.8,10.4741466324209,1.66421935216848,1.46421935216848,0.295408503852643
47,10.4743935152022,1.66408356663881,1.46408356663881,0.295380729539756
47.2,10.4745733077157,1.66398468075636,1.46398468075636,0.295360502881983
47.4,10.4746857704635,1.66392282624505,1.46392282624505,0.295347850822851
47.6,10.4747306846503,1.66389812344232,1.46389812344232,0.295342797976838
47.8,10.4747078522878,1.6639106812417,1.4639106812417,0.29534536661762
48,10.4746170962928,1.66396059703899,1.46396059703899,0.295355576667065
48.2,10.474458260578,1.66404795668212,1.46404795668212,0.29537344568498
48.4,10.4742312101367,1.6641728344248,1.4641728344248,0.295398988859618
48.6,10.4739358311205,1.66433529288374,1.46433529288374,0.295432218998946
48.8,10.4735720309095,1.66453538299978,1.46453538299978,0.295473146522682
49,10.4731397381769,1.66477314400269,1.46477314400269,0.295521779455096
49.2,10.4726389029459,1.66504860337975,1.46504860337975,0.295578123418585
49.4,10.4720694966398,1.66536177684811,1.46536177684811,0.295642181628022
49.6,10.4714315121254,1.66571266833101,1.46571266833101,0.295713954885887
49.8,10.4707249637496,1.66610126993773,1.46610126993773,0.295793441578172
50,10.4699498873683,1.66652756194743,1.46652756194743,0.295880637671066
50.2,10.4691063403695,1.66699151279679,1.46699151279679,0.295975536708434
50.4,10.4681944016883,1.66749307907144,1.46749307907144,0.296078129810067
50.6,10.4672141718157,1.66803220550135,1.46803220550135,0.29618840567073
50.8,10.4661657728001,1.66860882495995,1.46860882495995,0.296306350559991
51,10.4650493482415,1.66922285846719,1.46922285846719,0.296431948322835
51.2,10.4638650632793,1.66987421519638,1.46987421519638,0.296565180381077
51.4,10.4626131045729,1.67056279248493,1.47056279248493,0.296706025735554
51.6,10.4612936802746,1.67128847584897,1.47128847584897,0.296854460969108
51.8,10.4599070199968,1.67205113900176,1.47205113900176,0.297010460250359
52,10.458453374771,1.67285064387596,1.47285064387596,0.297173995338265
52.2,10.4569330170003,1.67368684064984,1.47368684064984,0.297345035587467
52.4,10.4553462404051,1.67455956777718,1.47455956777718,0.297523547954423
52.6,10.4536933599616,1.67546865202114,1.47546865202114,0.297709497004325
52.8,10.4519747118329,1.67641390849189,1.47641390849189,0.297902844918795
53,10.4501906532945,1.67739514068804,1.47739514068804,0.298103551504372
53.2,10.448341562651,1.67841214054195,1.47841214054195,0.298311574201763
53.4,10.4464278391477,1.67946468846878,1.47946468846878,0.298526868095886
53.6,10.444449902874,1.68055255341931,1.48055255341931,0.298749385926678
53.8,10.4424081946607,1.68167549293661,1.48167549293661,0.298979078100671
54,10.4403031759703,1.68283325321636,1.48283325321636,0.299215892703347
54.2,10.43813532878,1.68402556917097,1.48402556917097,0.299459775512244
54.4,10.4359051554592,1.68525216449743,1.48525216449743,0.299710670010837
54.6,10.4336131786386,1.68651275174878,1.48651275174878,0.29996851740316
54.8,10.4312599410738,1.6878070324094,1.4878070324094,0.300233256629195
55,10.4288460055022,1.68913469697377,1.48913469697377,0.300504824380998
55.2,10.4263719544926,1.69049542502904,1.49049542502904,0.300783155119577
55.4,10.4238383902888,1.69188888534114,1.49188888534114,0.301068181092505
55.6,10.4212459346465,1.6933147359444,1.4933147359444,0.301359832352263
