t,n_sat,dop,sigma_pos,dt_upd
14.4,9.64385460911645,2.12087996498595,1.92087996498595,0.388816356474399
14.6,9.64468894456639,2.12042108048849,1.92042108048849,0.388722493736281
14.8,9.64560322371467,2.11991822695693,1.91991822695693,0.388619637332099
15,9.64659747204129,2.11937139037729,1.91937139037729,0.388507784395354
15.2,9.64767168663225,2.11878057235226,1.91878057235226,0.388386935253872
15.4,9.64882583612382,2.1181457901319,1.9181457901319,0.38825709343607
15.6,9.65005986065665,2.11746707663884,1.91746707663884,0.388118265676127
15.8,9.65137367183969,2.11674448048817,1.91674448048817,0.387970461918035
16,9.65276715272403,2.11597806600178,1.91597806600178,0.387813695318547
16.2,9.65424015778661,2.11516791321736,1.91516791321736,0.387647982249006
16.4,9.65579251292385,2.11431411789188,1.91431411789188,0.387473342296067
16.6,9.65742401545515,2.11341679149967,1.91341679149967,0.387289798261296
16.8,9.6591344341364,2.11247606122498,1.91247606122498,0.387097376159655
17,9.66092350918338,2.11149206994914,1.91149206994914,0.386896105216869
17.2,9.66279095230507,2.11046497623221,1.91046497623221,0.38668601786568
17.4,9.6647364467469,2.1093949542892,1.9093949542892,0.386467149740973
17.6,9.66675964734402,2.10828219396079,1.90828219396079,0.386239539673798
