t,is_nlos,nlosv,shadowing_dB,interference_dB,veg_atten_dB
26.2,0,0,4.58383377433535,1.36447255295425,2.53940956922433
26.4,0,0,4.58586448367243,1.36341244867014,2.53749763950324
26.6,0,0,4.58775076166751,1.36232422402246,2.53552302578092
26.8,0,0,4.58986937554854,1.36216846137611,2.53285544918083
27,1,1,5.77072857590538,1.8959407530845,2.52965484756627
27.2,1,1,5.77291206104182,1.89630806254537,2.52653781795362
27.4,1,1,5.76581031673286,1.89194240926261,2.52350493029358
27.6,1,1,5.74214936188705,1.87923941555252,2.52055672272551
27.8,0,0,4.59632808584569,1.36120423678988,2.51764433024125
28,0,0,4.60925841507452,1.36793637100017,2.51359583560657
28.2,1,1,5.74323460113282,1.87941846665754,2.50949729317574
28.4,1,1,5.74365791846776,1.88002656350225,2.50535278941336
28.6,1,1,5.73697947207638,1.87714534997849,2.50116767621791
28.8,0,0,4.54819027523726,1.33932144796754,2.49694104413388
29,0,0,4.54540796726611,1.33856878174723,2.49256683445741
29.2,0,0,4.54805228999405,1.34069034285393,2.48802979923711
29.4,0,0,4.57578725648987,1.3553327660386,2.48341210614454
29.6,0,0,4.56923536215107,1.35296422441171,2.47879922492452
29.8,0,0,4.54426005717696,1.34144677196163,2.47419252494102
30,0,0,4.52869611770696,1.3347368708722,2.46946186053202
30.2,0,0,4.51628208799166,1.32985148383857,2.46451036612737
30.4,0,0,4.50564927268648,1.32709042834611,2.45854121949452
30.6,0,0,4.49574869503823,1.32442029284816,2.45279054429006
30.8,0,0,4.47990615537677,1.31853170272706,2.447260843988
31,0,0,4.4947842035702,1.32759402511458,2.44195441790312
31.2,1,1,5.71728458900932,1.88400030830962,2.43687335621381
31.4,0,0,4.41215838436817,1.2891920699561,2.43201953599612
31.6,0,0,4.41404792921184,1.29098778042627,2.42739461830987
31.8,0,0,4.42017344566493,1.29460573443758,2.42300004636583
32,1,1,5.79654401236012,1.92616510862967,2.41883704479076
32.2,0,0,4.45111076249536,1.31027191756653,2.41490661999418
32.4,0,0,4.4220776710741,1.29563458173177,2.41120956162827
32.6,0,0,4.42152571475729,1.29520165397718,2.40744952228473
32.8,0,0,4.43612336420772,1.30260449440348,2.40343302800151
33,0,0,4.47265710361525,1.32123567460793,2.39913765127671
33.2,0,0,4.48929617776601,1.32992013903466,2.39492609103031
33.4,0,0,4.47646867822154,1.32391373227521,2.39079974900484
33.6,0,0,4.46036131961388,1.31621270570619,2.38674552023568
33.8,0,0,4.44151750435109,1.3075073679202,2.38242120730588
34,0,0,4.46287312052445,1.3193444657122,2.37761030137493
34.2,1,1,5.66621032351005,1.86639352459098,2.3725740320856
34.4,1,1,5.65555046662942,1.8626399655743,2.36757777861006
34.6,1,1,5.62895222167586,1.85096324155279,2.36262310268653
34.8,0,0,4.44983539824886,1.3189599140463,2.35770596021219
35,0,0,4.41595147735866,1.30536797317655,2.35141588577579
35.2,0,0,4.39757105614667,1.30371225982789,2.34168225741032
35.4,1,1,5.59134493577348,1.85112047472895,2.33263011100443
35.6,0,0,4.42370719061382,1.32915038049369,2.324275010925
35.8,0,0,4.31795338333428,1.28173436283068,2.31663089453482
36,0,0,4.22173023434374,1.23819352120974,2.30970988955392
36.2,0,0,4.26880607013412,1.26518952145329,2.30321653837946
36.4,0,0,4.36301908291228,1.31488024960121,2.29730101167234
36.6,0,0,4.20733742363611,1.23990747557991,2.29208185388029
36.8,0,0,4.21491859772024,1.2448148681706,2.28774364407866
37,0,0,4.20595099696494,1.24048270483274,2.28428904528871
37.2,0,0,4.2010509769227,1.23713105024128,2.28171743218148
37.4,0,0,4.19861020198713,1.2345922607569,2.27951639908968
37.6,0,0,4.19947855234698,1.23368507867384,2.27736277672896
37.8,0,0,4.29930063803248,1.28215822482967,2.27497583214629
38,0,0,4.31620243372949,1.28890110232128,2.27314853353006
38.2,0,0,4.31154914522679,1.28433260774839,2.27187779302378
38.4,0,0,4.30412479031746,1.27778081327358,2.27114974833429
38.6,0,0,4.29639068751279,1.27049904986544,2.27093821577743
38.8,0,0,4.33479279294186,1.29044403244981,2.26721604823984
39,1,1,5.53319206169606,1.83516469438137,2.26292230710916
39.2,0,0,4.29874575344802,1.27592757308499,2.25867392615089
39.4,0,0,4.29232810061774,1.27442859929727,2.25447225625193
39.6,0,0,4.18699410217257,1.22390918340303,2.25031863667214
39.8,1,1,5.76280034637593,1.9557217638091,2.24619467716687
40,0,0,4.15424068172238,1.21119480956319,2.24205049897967
40.2,0,0,4.14668548036794,1.20929027265682,2.23793214791159
40.4,0,0,4.13914148113919,1.20740740158711,2.23385626604541
40.6,0,0,4.166479837088,1.2228177357067,2.22983300064774
40.8,0,0,4.12296351238761,1.20311571307053,2.22586359727581
41,0,0,4.0940601723463,1.19066031995563,2.22194928679659
41.2,0,0,4.08541867986024,1.188250881281,2.21809128499646
41.4,0,0,4.08108244784382,1.18797866377543,2.21429079219627
41.6,0,0,4.07457633351276,1.18663410991718,2.21054899287181
41.8,0,0,4.06736910566799,1.18494480863802,2.20686705527974
42,0,0,4.0602167867593,1.18328534923161,2.20324592549766
42.2,0,0,4.05382974167109,1.18200842069362,2.19968593717801
42.4,0,0,4.06361699544853,1.18877263350952,2.19617027478617
42.6,0,0,4.04130870784328,1.17964101205214,2.19271080279947
42.8,0,0,4.04210384323325,1.18196541431967,2.18931300276765
43,0,0,4.04092373089998,1.1833160517737,2.18597791567314
43.2,0,0,4.06595603339255,1.19766290532038,2.18270656324751
43.4,0,0,4.03773476694797,1.18563178658085,2.17949101459775
43.6,0,0,4.0167440350244,1.17727168401771,2.17627326249579
43.8,0,0,4.01918484608494,1.18060046908638,2.17306349132723
44,0,0,4.02190718357212,1.18415807434425,2.16985134566454
44.2,0,0,4.03278967025455,1.19174921578816,2.16671911642039
44.4,0,0,4.02526302210053,1.19019898161016,2.1636728812255
44.6,0,0,4.01041297001536,1.18500119169034,2.16071362396212
44.8,0,0,3.99711420870378,1.18073518354086,2.1576943473133
45,0,0,3.98891761959902,1.1791789221434,2.15460085335527
45.2,0,0,3.97978443732273,1.17767723592931,2.15115810847776
45.4,0,0,3.97120856373625,1.17627280824972,2.14793588793305
45.6,0,0,3.95356810097661,1.17019474310045,2.14493640016884
45.8,0,0,4.01145928818119,1.20136846431172,2.14216176047424
46,0,0,3.9418586741466,1.16916990443265,2.13961398594388
46.2,0,0,3.92088131319696,1.1608830779086,2.13729499056415
46.4,0,0,3.92338303357119,1.16404434630049,2.13520658045393
46.6,0,0,3.99284169058009,1.20020051312673,2.13335044929169
46.8,0,0,4.02230109914603,1.21634063198677,2.13172817396098
47,0,0,3.91530393708169,1.16475566223536,2.1302609612411
47.2,0,0,3.92074455215605,1.16922768135365,2.128601967478
