t,is_nlos,nlosv,shadowing_dB,interference_dB,veg_atten_dB
15.2,0,0,3.98331840216319,1.20328379768248,2.16637340001625
15.4,0,0,3.98696413603417,1.20345373787543,2.16753383862905
15.6,0,0,3.99277791934584,1.20474069229615,2.16862957522474
15.8,0,0,3.99462255011757,1.20404795726515,2.16966036054432
16,0,0,3.99981865309602,1.20507009278152,2.17062584519028
16.2,0,0,4.00965058772575,1.20845534119428,2.1715259747987
16.4,0,0,4.01417777561549,1.20918758715322,2.17236068327941
16.6,0,0,4.01791179467168,1.20954369292715,2.17312985620105
16.8,0,0,4.02127233449405,1.20973564584074,2.17383340030361
17,0,0,4.02453944214313,1.20991113379174,2.17446478303353
17.2,0,0,4.03042967333208,1.21146465597214,2.17499939581241
17.4,0,0,4.03596340973277,1.21286979779386,2.17546128384744
17.6,0,0,4.0417014969996,1.21440802110182,2.17585224970949
17.8,0,0,4.04304030017014,1.21375568155365,2.1761730439376
18,0,0,4.03951712455279,1.21067942946582,2.1764237270274
18.2,0,0,4.04105458637423,1.21019352409148,2.17659712989379
18.4,0,0,4.04313705771015,1.21001816908732,2.17669463477696
18.6,0,0,4.04532110662127,1.20992752145303,2.17671866158224
18.8,0,0,4.04738040237309,1.20980528296182,2.17667165476651
19,0,0,4.04650667469073,1.20823443390851,2.17655378191177
19.2,0,0,4.04573801138383,1.20674816709939,2.17636523009553
19.4,0,0,4.04451813798502,1.20506586554893,2.1761062058225
19.6,0,0,4.04608128992616,1.20481969265042,2.17577693495016
19.8,0,0,4.04751985224307,1.20454247613669,2.1753776626082
20,0,0,4.0488339369978,1.20423434992395,2.1749086531119
20.2,0,0,4.05002368390504,1.2038954566899,2.17437018986933
20.4,0,0,4.05108926023544,1.20352594782711,2.17376257528264
20.6,0,0,4.057498730341,1.20588520640297,2.17308613064327
20.8,0,0,4.079515272356,1.21615234397833,2.17234119602113
21,0,0,4.05354304952441,1.2022353710362,2.17152813014796
21.2,0,0,4.05411416349095,1.20174508605921,2.17064731029467
21.4,0,0,4.05456235258473,1.2012250712798,2.16969913214292
21.6,0,0,4.09730828759331,1.2220818881928,2.16868400965078
21.8,0,0,4.06285493781187,1.20401439383491,2.16760237491266
22,0,0,4.05517280479662,1.19948871486882,2.16645467801352
22.2,0,0,4.05513286117929,1.19885188886771,2.16524138687737
22.4,0,0,4.05497190810695,1.19818642805222,2.16396298711011
22.6,0,0,4.05469040727457,1.19749257575712,2.16261998183687
22.8,0,0,4.05428884615765,1.19677058324977,2.16121289153369
23,0,0,4.05376773781528,1.19602070964752,2.15974225385384
23.2,0,0,4.05319460576285,1.19527702416816,2.15820862344867
23.4,0,0,4.05264976533615,1.19458004607666,2.15661257178308
23.6,0,0,4.05149263946675,1.19360650939741,2.15495468694572
23.8,0,0,4.05049897722708,1.192747856569,2.15323557345392
24,0,0,4.04938870945327,1.19186273292737,2.15145585205348
24.2,0,0,4.08100594594717,1.20752506342597,2.14961615951335
24.4,0,0,4.05188721888886,1.1925708229738,2.14771714841518
24.6,0,0,4.04536501322957,1.1890516165457,2.14575948693804
24.8,0,0,4.04379518268494,1.18806372468913,2.14374385863812
25,0,0,4.06176229658232,1.19696683459136,2.14167096222363
25.2,0,0,4.0569381652011,1.19440103490931,2.13954151132499
25.4,0,0,4.03841048579097,1.18495214487869,2.13735623426026
25.6,0,0,4.03639319225995,1.18386680344672,2.13511587379601
25.8,0,0,4.03426609425517,1.18275798090487,2.1328211869037
26,0,0,4.03203006038101,1.18162604260038,2.13047294451148
26.2,0,0,4.0296859807692,1.18047136009125,2.12807193125184
26.4,0,0,4.027234766772,1.17929431102524,2.12561894520472
26.6,0,0,4.0246773506518,1.17809527901785,2.12311479763667
26.8,0,0,4.02201468526157,1.17687465352677,2.12056031273569
27,0,0,4.01924774372283,1.17563282972572,2.11795632734222
27.2,0,0,4.01637751909615,1.17437020837561,2.11530369067606
27.4,0,0,4.01340502404792,1.17308719569455,2.1126032640595
27.6,0,0,4.01033129051426,1.17178420322728,2.10985592063673
27.8,0,0,4.00715736934691,1.1704616477064,2.1070625450895
28,0,0,4.00388432997921,1.16911995092448,2.1042240333493
