t,tx_x,tx_y,rx_x,rx_y,relay_available
26.8,1878.90745562956,-604.994006525617,1909.64769694105,-529.889215887344,0
27,1881.31118717891,-601.300331797916,1911.03572798591,-525.664245382267,0
27.2,1883.71491872826,-597.606657070214,1912.42291289055,-521.44185040855,0
27.4,1886.11865027761,-593.912982342512,1913.80925037215,-517.222034870896,0
27.6,1888.52238182696,-590.219307614811,1915.19473924084,-513.004802391144,0
27.8,1890.88830547776,-586.506905799579,1916.57937839978,-508.790156307871,0
28,1892.36992578166,-582.356488997558,1917.96316684533,-504.578099676024,0
28.2,1893.78197575225,-578.182230883318,1919.34610366714,-500.368635266592,0
28.4,1895.15746269576,-573.995442851471,1920.72818804825,-496.161765566294,0
28.6,1896.53294963927,-569.808654819623,1922.10941926517,-491.957492777313,0
28.8,1897.90843658279,-565.621866787776,1923.49610761876,-487.758176605932,0
29,1899.2839235263,-561.435078755928,1925.20780134606,-483.683203379325,0
29.2,1900.65941046982,-557.248290724081,1927.07029923806,-479.679917398371,0
29.4,1902.03489741333,-553.061502692233,1929.01832300135,-475.71859081397,0
29.6,1903.41038435685,-548.874714660386,1930.96513738828,-471.759723508968,0
29.8,1904.78587130036,-544.687926628538,1932.9107421708,-467.803315947111,0
30,1906.16135824387,-540.501138596691,1934.9645441441,-463.907274650012,0
30.2,1907.53684518739,-536.314350564843,1937.1894398618,-460.112253829311,0
30.4,1908.9123321309,-532.127562532996,1939.93134540404,-456.670154382861,0
30.6,1910.28781907442,-527.940774501148,1942.67154367224,-453.230198192962,0
30.8,1911.66330601793,-523.753986469301,1945.41003528079,-449.792384488338,0
31,1913.03879296144,-519.567198437453,1948.14682103122,-446.356712262766,0
31.2,1914.41427990496,-515.380410405606,1950.88190191214,-442.923180275184,0
31.4,1915.78976684847,-511.193622373758,1953.6152790991,-439.491787049832,0
31.6,1917.16525379199,-507.006834341911,1956.3469539545,-436.062530876407,0
31.8,1918.5407407355,-502.820046310063,1959.07692802742,-432.635409810257,0
32,1919.91622767901,-498.633258278216,1961.80520305342,-429.21042167259,0
32.2,1921.29171462253,-494.446470246368,1964.53178095441,-425.787564050715,0
32.4,1922.66720156604,-490.25968221452,1967.2566638384,-422.366834298304,0
32.6,1924.18212836614,-486.124989468608,1969.97985399928,-418.948229535687,0
32.8,1925.89706707729,-482.065697200296,1972.70135391656,-415.531746650164,0
33,1927.84180186204,-478.111058787954,1975.4211662551,-412.117382296345,0
33.2,1929.7865366468,-474.156420375612,1978.13929386484,-408.705132896523,0
33.4,1931.73127143155,-470.20178196327,1980.85573978046,-405.29499464106,0
33.6,1933.6760062163,-466.247143550928,1983.61141543453,-401.920899019791,0
33.8,1935.82139621932,-462.398706921148,1986.45755892406,-398.625343654192,0
34,1938.27259508539,-458.752495829592,1989.58973535395,-395.606989467339,0
34.2,1941.01839590043,-455.30550638378,1992.7505905207,-392.619755400352,0
34.4,1943.76419671547,-451.858516937969,1995.90950495342,-389.634355465756,0
34.6,1946.50999753051,-448.411527492157,1999.06648347602,-386.650785104593,0
34.8,1949.25579834554,-444.964538046346,2002.22605929867,-383.673841695665,0
35,1952.00159916058,-441.517548600534,2005.65203136146,-381.16283804836,0
35.2,1954.74739997562,-438.070559154723,2009.80586988776,-379.9199206123,0
35.4,1957.49320079066,-434.623569708911,2013.95718477003,-378.677758304577,0
35.6,1960.2390016057,-431.176580263099,2018.10598375866,-377.436348806104,0
35.8,1962.98480242073,-427.729590817288,2022.25227487996,-376.195689715239,0
36,1965.73060323577,-424.282601371476,2026.39606643526,-374.955778548048,0
