t,tx_x,tx_y,rx_x,rx_y,relay_available
37.2,-763.248516612026,-24.7808472915204,-704.094496949791,-46.4999163367685,0
37.4,-759.10120026325,-26.3177469056829,-699.966565400973,-47.9269838423278,0
37.6,-754.953883914474,-27.8546465198454,-695.840495427732,-49.3534077824638,0
37.8,-750.806567565698,-29.3915461340078,-691.716281096447,-50.7791902084889,0
38,-746.659251216922,-30.9284457481703,-687.593023483766,-52.2017100941927,0
38.2,-742.511934868146,-32.4653453623328,-683.459026398533,-53.5866229905115,0
38.4,-738.36461851937,-34.0022449764952,-679.325584962224,-54.9670678625645,0
38.6,-734.217302170594,-35.5391445906577,-675.193307429792,-56.3448871600653,0
38.8,-730.069985821818,-37.0760442048202,-671.062859661626,-57.7220963619243,0
39,-725.922669473041,-38.6129438189827,-666.934234486927,-59.0986978590898,0
39.2,-721.775353124265,-40.1498434331452,-662.807424535033,-60.4746941091512,0
39.4,-717.628036775489,-41.6867430473077,-658.682422236218,-61.8500876360709,0
39.6,-713.475405017496,-43.2092047647446,-654.559219822531,-63.2248810299062,0
39.8,-709.310315239513,-44.6967554296317,-650.437809328639,-64.5990769465259,0
40,-705.130136645249,-46.1418852649403,-646.318182592709,-65.9726781073188,0
40.2,-700.949958050986,-47.5870151002489,-642.200331257294,-67.3456872988954,0
40.4,-696.769779456723,-49.0321449355574,-638.084246770259,-68.7181073727825,0
40.6,-692.589600862459,-50.477274770866,-633.969920385711,-70.0899412451101,0
40.8,-688.409422268195,-51.9224046061747,-629.857343164962,-71.4611918962919,0
41,-684.217347332175,-53.3325810986339,-625.746505977509,-72.8318623706982,0
41.2,-680.02254163471,-54.7346826112505,-621.637399502036,-74.2019557763224,0
41.4,-675.826703447953,-56.133694845432,-617.530014227432,-75.5714752844399,0
41.6,-671.630865261196,-57.5327070796135,-613.424340453839,-76.9404241292606,0
41.8,-667.435027074438,-58.9317193137951,-609.321142781986,-78.3111251693899,0
42,-663.239188887682,-60.3307315479767,-605.220041111984,-79.6824734071091,0
42.2,-659.043350700925,-61.7297437821582,-601.120712011145,-81.0535340428048,0
42.4,-654.847512514168,-63.1287560163398,-597.0230532284,-82.4240360243082,0
42.6,-650.651674327411,-64.5277682505213,-592.927054139801,-83.7939829049021,0
42.8,-646.455836140653,-65.9267804847029,-588.8327039394,-85.1633782987421,0
43,-642.259997953896,-67.3257927188845,-584.740323639872,-86.533218119111,0
43.2,-638.064159767139,-68.724804953066,-580.649711152641,-87.9029352090455,0
43.4,-633.868321580382,-70.1238171872475,-576.56082010682,-89.2724287454016,0
43.6,-629.672483393625,-71.5228294214291,-572.473532702215,-90.6413851737112,0
43.8,-625.476645206868,-72.9218416556106,-568.387837242683,-92.009808411368,0
44,-621.280807020111,-74.3208538897922,-564.303721857501,-93.3777024342361,0
44.2,-617.084968833354,-75.7198661239737,-560.221174502678,-94.7450712762136,0
44.4,-612.889130646597,-77.1188783581553,-556.140182962268,-96.1119190287912,0
44.6,-608.694242389274,-78.5207355935025,-552.060734849712,-97.4782498406023,0
44.8,-604.499630942351,-79.9234216210343,-547.982817609199,-98.8440679169691,0
45,-600.305092497961,-81.3263259511203,-543.906418517039,-100.209377519441,0
45.2,-596.110554053571,-82.7292302812064,-539.83152468306,-101.574182965327,0
45.4,-591.916015609182,-84.1321346112925,-535.758011047611,-102.938153895311,0
45.6,-587.721564054313,-85.5352986259725,-531.685301734863,-104.299613202695,0
45.8,-583.527370445743,-86.9392335584636,-527.614019737183,-105.660467091118,0
46,-579.333391788334,-88.3438104588378,-523.544174447993,-107.020788709733,0
46.2,-575.139447350966,-89.7484895599549,-519.47576781604,-108.38062946571,0
46.4,-570.945502913599,-91.1531686610721,-515.408785979711,-109.73999399221,0
46.6,-566.751558476232,-92.5578477621892,-511.339016899788,-111.08616778539,0
46.8,-562.557614038865,-93.9625268633064,-507.264706025878,-112.413882575613,0
47,-558.363669601498,-95.3672059644235,-503.185623031579,-113.722095375574,0
47.2,-554.16972516413,-96.7718850655408,-499.107789011007,-115.029483160524,0
47.4,-549.975780726763,-98.1765641666579,-495.031313632639,-116.336435353388,0
47.6,-545.781836289396,-99.581243267775,-490.956182061089,-117.642956710518,0
47.8,-541.587891852029,-100.985922368892,-486.880783892712,-118.944060216589,0
48,-537.393947414662,-102.390601470009,-482.804568348639,-120.238028337705,0
48.2,-533.199396762732,-103.793468862488,-478.725289849642,-121.517785400318,0
48.4,-529.004622035565,-105.195666531154,-474.647296907627,-122.797139156165,0
48.6,-524.809811490023,-106.597757044582,-470.570573936073,-124.076094495068,0
48.8,-520.61500094448,-107.99984755801,-466.495105209196,-125.354656350545,0
49,-516.420190398938,-109.401938071438,-462.420874863668,-126.63282969926,0
49.2,-512.223382031571,-110.797975572826,-458.34786690036,-127.910619560484,0
49.4,-508.018109247194,-112.168367534935,-454.276065186094,-129.18803099554,0
49.6,-503.807636550233,-113.522672625099,-450.205453455412,-130.465069107251,0
49.8,-499.595877426603,-114.872997921226,-446.136015312363,-131.741739039377,0
