Config,Profile,Vegetation,Stage,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,CI_Lower,CI_Upper,P_Value,Significant
FG_curved_dense,curved,dense,PosDeg_Emerg,LossRate,0.0554545454545455,0.0100045903146783,0.0136363636363636,0.00981930408849675,-0.0418181818181819,-0.0475869620827632,-0.0360494015536006,0,***
FG_curved_dense,curved,dense,PosDeg_Emerg,AvgDelay,0.0181922438245066,0.000275260681456286,0.0201856162881817,0.000934369018223,0.00199337246367509,0.00160864537285947,0.00237809955449071,2.72236011511495e-10,***
FG_curved_dense,curved,dense,PosDeg_Emerg,AvgTxCost,2.315,4.6811112914356e-16,2.77604545454545,0.0541188748689384,0.461045454545455,0.440188457359218,0.481902451731692,0,***
FG_curved_dense,curved,dense,PosDeg_Emerg,EmgTimely,0.915094339622642,0.0270513373177438,0.971698113207547,0.0203796877308424,0.0566037735849055,0.0457639828771669,0.0674435642926441,1.97508676080815e-10,***
FG_curved_medium,curved,medium,PosDeg_Emerg,TimelyRate,0.960909090909091,0.00963045368610353,0.987272727272728,0.0114991914915213,0.0263636363636362,0.0215626282940158,0.0311646444332566,2.20887752533372e-11,***
FG_curved_medium,curved,medium,PosDeg_Emerg,LossRate,0.0381818181818182,0.00938905053626043,0.0118181818181818,0.00963045368610345,-0.0263636363636364,-0.0308716188262062,-0.0218556539010665,1.03050901145707e-12,***
FG_curved_medium,curved,medium,PosDeg_Emerg,AvgDelay,0.0159357661594455,0.000332206266986031,0.0171154988002738,0.000663977691046162,0.00117973264082824,0.00091855825308038,0.0014409070285761,3.70116832737466e-08,***
FG_curved_medium,curved,medium,PosDeg_Emerg,AvgTxCost,2.30863636363636,0,2.69259090909091,0.0489224804247412,0.38395454545455,0.365100198629461,0.402808892279639,0,***
FG_curved_medium,curved,medium,PosDeg_Emerg,EmgTimely,0.949056603773585,0.0178996848688775,0.977358490566038,0.0194867086601632,0.0283018867924529,0.0212352078270746,0.0353685657578312,1.05732193844688e-06,***
FG_curved_sparse,curved,sparse,PosDeg_Emerg,TimelyRate,0.990909090909091,0.00428549564355478,0.996363636363636,0.00635641726163722,0.00545454545454542,0.0036453116050755,0.00726377930401535,0.00023862762935134,***
