WTimely,WReliability,WCost,WPosRisk,WEvent,Objective,EmergencyTimelyMean,PosDegEmergencyTimelyMean,TimelyMean,AvgTxCostMean,PosDegAvgTxCostMean,LossRateMean
0.9,0.55,0.07,0.28,0.32,1.03893474763872,0.794642857142857,0.721590909090909,0.93801652892562,5.05675103305785,15.1913068181818,0
0.9,0.55,0.07,0.38,0.12,1.03893474763872,0.794642857142857,0.721590909090909,0.93801652892562,5.05675103305785,15.1913068181818,0
0.9,0.55,0.07,0.38,0.22,1.03893474763872,0.794642857142857,0.721590909090909,0.93801652892562,5.05675103305785,15.1913068181818,0
0.9,0.55,0.07,0.38,0.32,1.03893474763872,0.794642857142857,0.721590909090909,0.93801652892562,5.05675103305785,15.1913068181818,0
1.3,0.55,0.1,0.18,0.12,1.03859492694805,0.792857142857143,0.71875,0.9375,5.02991477272727,15.0601988636364,0
1.3,0.55,0.1,0.18,0.22,1.03859492694805,0.792857142857143,0.71875,0.9375,5.02991477272727,15.0601988636364,0
1.3,0.55,0.1,0.18,0.32,1.03859492694805,0.792857142857143,0.71875,0.9375,5.02991477272727,15.0601988636364,0
1.3,0.55,0.1,0.28,0.12,1.03859492694805,0.792857142857143,0.71875,0.9375,5.02991477272727,15.0601988636364,0
1.3,0.55,0.1,0.28,0.22,1.03859492694805,0.792857142857143,0.71875,0.9375,5.02991477272727,15.0601988636364,0
1.3,0.55,0.1,0.28,0.32,1.03859492694805,0.792857142857143,0.71875,0.9375,5.02991477272727,15.0601988636364,0
1.3,0.55,0.1,0.38,0.12,1.03859492694805,0.792857142857143,0.71875,0.9375,5.02991477272727,15.0601988636364,0
1.3,0.55,0.1,0.38,0.22,1.03859492694805,0.792857142857143,0.71875,0.9375,5.02991477272727,15.0601988636364,0
1.3,0.55,0.1,0.38,0.32,1.03859492694805,0.792857142857143,0.71875,0.9375,5.02991477272727,15.0601988636364,0
0.9,0.55,0.04,0.18,0.12,1.03818603158205,0.798214285714286,0.727272727272727,0.939566115702479,5.12676136363636,15.4892613636364,0
0.9,0.55,0.04,0.18,0.22,1.03818603158205,0.798214285714286,0.727272727272727,0.939566115702479,5.12676136363636,15.4892613636364,0
0.9,0.55,0.04,0.18,0.32,1.03818603158205,0.798214285714286,0.727272727272727,0.939566115702479,5.12676136363636,15.4892613636364,0
0.9,0.55,0.04,0.28,0.12,1.03818603158205,0.798214285714286,0.727272727272727,0.939566115702479,5.12676136363636,15.4892613636364,0
0.9,0.55,0.04,0.28,0.22,1.03818603158205,0.798214285714286,0.727272727272727,0.939566115702479,5.12676136363636,15.4892613636364,0
0.9,0.55,0.04,0.28,0.32,1.03818603158205,0.798214285714286,0.727272727272727,0.939566115702479,5.12676136363636,15.4892613636364,0
0.9,0.55,0.04,0.38,0.12,1.03818603158205,0.798214285714286,0.727272727272727,0.939566115702479,5.12676136363636,15.4892613636364,0
0.9,0.55,0.04,0.38,0.22,1.03818603158205,0.798214285714286,0.727272727272727,0.939566115702479,5.12676136363636,15.4892613636364,0
0.9,0.55,0.04,0.38,0.32,1.03818603158205,0.798214285714286,0.727272727272727,0.939566115702479,5.12676136363636,15.4892613636364,0
1.1,0.55,0.07,0.18,0.12,1.03756155548996,0.794642857142857,0.721590909090909,0.93801652892562,5.06907283057851,15.2291619318182,0
1.1,0.55,0.07,0.18,0.22,1.03756155548996,0.794642857142857,0.721590909090909,0.93801652892562,5.06907283057851,15.2291619318182,0
1.1,0.55,0.07,0.18,0.32,1.03756155548996,0.794642857142857,0.721590909090909,0.93801652892562,5.06907283057851,15.2291619318182,0
1.1,0.55,0.07,0.28,0.12,1.03756155548996,0.794642857142857,0.721590909090909,0.93801652892562,5.06907283057851,15.2291619318182,0
1.1,0.55,0.07,0.28,0.22,1.03756155548996,0.794642857142857,0.721590909090909,0.93801652892562,5.06907283057851,15.2291619318182,0
1.1,0.55,0.07,0.28,0.32,1.03756155548996,0.794642857142857,0.721590909090909,0.93801652892562,5.06907283057851,15.2291619318182,0
1.1,0.55,0.07,0.38,0.12,1.03756155548996,0.794642857142857,0.721590909090909,0.93801652892562,5.06907283057851,15.2291619318182,0
1.1,0.55,0.07,0.38,0.22,1.03756155548996,0.794642857142857,0.721590909090909,0.93801652892562,5.06907283057851,15.2291619318182,0
1.1,0.55,0.07,0.38,0.32,1.03756155548996,0.794642857142857,0.721590909090909,0.93801652892562,5.06907283057851,15.2291619318182,0
1.1,0.55,0.04,0.18,0.12,1.03625542724321,0.798214285714286,0.727272727272727,0.940599173553719,5.14389204545454,15.5532954545455,0
1.1,0.55,0.04,0.18,0.22,1.03625542724321,0.798214285714286,0.727272727272727,0.940599173553719,5.14389204545454,15.5532954545455,0
