Seed,Baseline,Metric,BaselineValue,V6Value,Delta
10,Confidence-heuristic,AvgTxCost,3.35519134775374,3.33178036605657,-0.0234109816971699
10,Link-delay-aware,TimelyRate,0.618968386023295,0.613976705490849,-0.00499168053244592
10,Link-delay-aware,EmergencyTimelyRate,0.580586080586081,0.575091575091575,-0.00549450549450592
10,Link-delay-aware,LossRate,0.332778702163062,0.309484193011647,-0.023294509151415
10,Link-delay-aware,AvgDelay_s,0.039983528116234,0.0410402145452388,0.0010566864290048
10,Link-delay-aware,AvgTxCost,2.84199667221298,3.33178036605657,0.48978369384359
11,Confidence-heuristic,TimelyRate,0.62063227953411,0.613976705490849,-0.006655574043261
11,Confidence-heuristic,EmergencyTimelyRate,0.582417582417582,0.575091575091575,-0.00732600732600697
11,Confidence-heuristic,LossRate,0.311148086522463,0.314475873544093,0.00332778702163
11,Confidence-heuristic,AvgDelay_s,0.0405458343758149,0.0408719159028781,0.000326081527063198
11,Confidence-heuristic,AvgTxCost,3.34935108153078,3.32464226289517,-0.0247088186356099
11,Link-delay-aware,TimelyRate,0.625623960066556,0.613976705490849,-0.0116472545757069
11,Link-delay-aware,EmergencyTimelyRate,0.587912087912088,0.575091575091575,-0.012820512820513
11,Link-delay-aware,LossRate,0.344425956738769,0.314475873544093,-0.029950083194676
11,Link-delay-aware,AvgDelay_s,0.039734757244116,0.0408719159028781,0.0011371586587621
11,Link-delay-aware,AvgTxCost,2.84199667221298,3.32464226289517,0.48264559068219
12,Confidence-heuristic,TimelyRate,0.625623960066556,0.615640599001664,-0.00998336106489195
12,Confidence-heuristic,EmergencyTimelyRate,0.58974358974359,0.578754578754579,-0.0109890109890109
12,Confidence-heuristic,LossRate,0.347753743760399,0.327787021630616,-0.019966722129783
12,Confidence-heuristic,AvgDelay_s,0.04027019594619,0.0409978362985937,0.000727640352403698
12,Confidence-heuristic,AvgTxCost,3.27207986688852,3.32149750415973,0.0494176372712101
12,Link-delay-aware,TimelyRate,0.615640599001664,0.615640599001664,0
12,Link-delay-aware,EmergencyTimelyRate,0.578754578754579,0.578754578754579,0
12,Link-delay-aware,LossRate,0.364392678868552,0.327787021630616,-0.036605657237936
12,Link-delay-aware,AvgDelay_s,0.0400541351732818,0.0409978362985937,0.000943701125311898
12,Link-delay-aware,AvgTxCost,2.84199667221298,3.32149750415973,0.47950083194675
13,Confidence-heuristic,TimelyRate,0.62063227953411,0.62063227953411,0
13,Confidence-heuristic,EmergencyTimelyRate,0.582417582417582,0.582417582417582,0
13,Confidence-heuristic,LossRate,0.311148086522463,0.314475873544093,0.00332778702163
13,Confidence-heuristic,AvgDelay_s,0.0407570660047184,0.0407350341006181,-2.20319041003003e-05
13,Confidence-heuristic,AvgTxCost,3.43690515806989,3.32149750415973,-0.11540765391016
13,Link-delay-aware,TimelyRate,0.625623960066556,0.62063227953411,-0.00499168053244592
13,Link-delay-aware,EmergencyTimelyRate,0.587912087912088,0.582417582417582,-0.00549450549450603
