Scene,SceneRole,GeometryType,Config,BaselineMethod,ProposedMethod,TimelyDelta_pp,TimelyHolmP,TimelyEffectRBC,EmgDelta_pp,CostDelta_pct,PracticalClass
10006,Reference,Mixed,ForestGeometry,Risk-constrained-v6,Constrained Oracle,0.0765391014975081,p = 0.1744,0.368983957219251,-0.0328947368420929,-5.31356539072486,WeakNonnegative
10011,Boundary,Open,Default,Risk-constrained-v6,Constrained Oracle,0.356073211314478,p < 2.3e-308,1,0,2.92061623381135,WeakNonnegative
10011,Boundary,Open,ForestGeometry,Risk-constrained-v6,Constrained Oracle,-1.16139767054909,p < 2.3e-308,-0.996862745098039,-0.799999999999995,8.82242619455631,Risk
10019,DenseBlind,ShortRangeOccluded,Default,Risk-constrained-v6,Constrained Oracle,0,p = 1,0,0,-17.6271927427723,WeakNonnegative
10019,DenseBlind,ShortRangeOccluded,ForestGeometry,Risk-constrained-v6,Constrained Oracle,-0.535773710482534,p = 1.309e-10,-0.827755102040816,-0.589743589743597,-9.72182484790452,Boundary
10017,LongRange,LongMixed,Default,Risk-constrained-v6,Constrained Oracle,0.998336106489162,p < 2.3e-308,0.997647058823529,-0.833333333333364,12.2308300527271,Boundary
10017,LongRange,LongMixed,ForestGeometry,Risk-constrained-v6,Constrained Oracle,0.608985024958397,p < 2.3e-308,0.994285714285714,-0.166666666666667,25.30773599149,Boundary
10013,HeldOutHighNLOS,ShortHighNLOS,Default,Risk-constrained-v6,Constrained Oracle,0.392678868552421,p < 2.3e-308,1,-0.025688073394492,-16.5770061517427,WeakNonnegative
10013,HeldOutHighNLOS,ShortHighNLOS,ForestGeometry,Risk-constrained-v6,Constrained Oracle,-0.399334442595678,p = 1.282e-07,-0.791919191919192,-0.755963302752294,-0.315016262649706,Boundary
10007,HeldOutLongMixed,LongMixed,Default,Risk-constrained-v6,Constrained Oracle,0.129783693843588,p = 6.946e-07,0.783783783783784,0,-5.14665405733444,WeakNonnegative
10007,HeldOutLongMixed,LongMixed,ForestGeometry,Risk-constrained-v6,Constrained Oracle,0.449251247920124,p < 2.3e-308,0.987588652482269,0,-1.02688421735821,WeakNonnegative
10015,HeldOutBoundary,LongLowNLOS,Default,Risk-constrained-v6,Constrained Oracle,0.139767054908502,p = 8.038e-10,0.918003565062389,0,1.81024970431449,WeakNonnegative
10015,HeldOutBoundary,LongLowNLOS,ForestGeometry,Risk-constrained-v6,Constrained Oracle,0.532445923460889,p < 2.3e-308,0.993524514338575,-0.15384615384616,1.67208605654275,Boundary
