Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10011,Boundary,Open,Low,Sparse,ForestGeometry,Link-delay-aware,Normal,1,0,0,0,0,0,1.4572,0,0,1,0,0
10011,Boundary,Open,Low,Sparse,ForestGeometry,Link-delay-aware,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,1.34866666666667,0,0,1,0,0
10011,Boundary,Open,Low,Sparse,ForestGeometry,Link-delay-aware,LinkDeg_Emerg,1,0,0,0,0,0,1.93846153846154,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
10011,Boundary,Open,Low,Sparse,ForestGeometry,Link-delay-aware,PosDeg_Emerg,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10011,Boundary,Open,Low,Sparse,ForestGeometry,Link-delay-aware,Recovery,0.91523178807947,0.0228985474258542,0.0141926667351166,0.0847682119205298,0.0228985474258542,0.0141926667351166,2.00364238410596,4.6811112914356e-16,2.90138283768708e-16,0.9,0.316227766016838,0.196
10011,Boundary,Open,Low,Sparse,ForestGeometry,Link-delay-aware,Full,0.97820299500832,0.00619848411356561,0.00384186025649048,0.0217970049916805,0.00619848411356561,0.00384186025649048,1.71880199667221,2.3405556457178e-16,1.45069141884354e-16,0.995,0.0158113883008419,0.00980000000000001
10011,Boundary,Open,Low,Sparse,ForestGeometry,Confidence-driven,Normal,1,0,0,0,0,0,1.5196,2.3405556457178e-16,1.45069141884354e-16,1,0,0
10011,Boundary,Open,Low,Sparse,ForestGeometry,Confidence-driven,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,1.37266666666667,2.3405556457178e-16,1.45069141884354e-16,1,0,0
10011,Boundary,Open,Low,Sparse,ForestGeometry,Confidence-driven,LinkDeg_Emerg,1,0,0,0,0,0,1.93846153846154,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
10011,Boundary,Open,Low,Sparse,ForestGeometry,Confidence-driven,PosDeg_Emerg,1,0,0,0,0,0,2.04072727272727,0.0599369120422523,0.0371492829622556,NaN,NaN,NaN
10011,Boundary,Open,Low,Sparse,ForestGeometry,Confidence-driven,Recovery,0.986754966887417,0.00624376848729841,0.00386992780211883,0.0132450331125828,0.00624376848729841,0.00386992780211883,2.38211920529801,0.027325405345401,0.0169364617002462,1,0,0
10011,Boundary,Open,Low,Sparse,ForestGeometry,Confidence-driven,Full,0.996173044925125,0.0019292875353218,0.00119578480310593,0.0038269550748752,0.0019292875353218,0.00119578480310593,1.84031613976705,0.014342991549154,0.00888987826415118,1,0,0
10011,Boundary,Open,Low,Sparse,ForestGeometry,Oracle,Normal,1,0,0,0,0,0,1.4572,0,0,1,0,0
10011,Boundary,Open,Low,Sparse,ForestGeometry,Oracle,Coop_1,0.998,0.00322030594359767,0.00199596630269189,0.00200000000000001,0.00322030594359767,0.00199596630269189,1.34866666666667,0,0,1,0,0
10011,Boundary,Open,Low,Sparse,ForestGeometry,Oracle,LinkDeg_Emerg,1,0,0,0,0,0,1.93846153846154,2.3405556457178e-16,1.45069141884354e-16,NaN,NaN,NaN
10011,Boundary,Open,Low,Sparse,ForestGeometry,Oracle,PosDeg_Emerg,1,0,0,0,0,0,2,0,0,NaN,NaN,NaN
10011,Boundary,Open,Low,Sparse,ForestGeometry,Oracle,Recovery,0.99271523178808,0.0057986426209994,0.00359403593185858,0.00728476821192052,0.0057986426209994,0.00359403593185858,2.44072847682119,0,0,0.9,0.316227766016838,0.196
10011,Boundary,Open,Low,Sparse,ForestGeometry,Oracle,Full,0.997670549084859,0.00195305788814853,0.00121051782042671,0.00232945091514143,0.00195305788814853,0.00121051782042671,1.82861896838602,0,0,0.995,0.0158113883008419,0.00980000000000001
