Config,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgDelayMean,AvgDelayStd,AvgDelayCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
ForestGeometryDemo,DCC-like,LinkDeg_Emerg,0.756923076923077,0.0227035319191576,0.0140717948717949,0.243076923076923,0.0227035319191576,0.0140717948717949,0.0165318904709914,0.00130995208200845,0.000811916712145973,2.28584615384615,4.6811112914356e-16,2.90138283768708e-16,NaN,NaN,NaN
ForestGeometryDemo,DCC-like,PosDeg_Emerg,0.824545454545455,0.0226969494679685,0.0140677150262793,0.175454545454545,0.0226969494679685,0.0140677150262793,0.0259545445389429,0.000592969909138827,0.00036752655737707,3.29127272727273,4.6811112914356e-16,2.90138283768708e-16,0.984745762711864,0.0168547275595212,0.0104466683722209
ForestGeometryDemo,DCC-like,Recovery,0.94569536423841,0.00926100528185564,0.00574003054224864,0.0536423841059603,0.00852108568018488,0.00528142362181855,0.0170870751661911,0.000339497391805533,0.000210422663487246,3.32384105960265,4.6811112914356e-16,2.90138283768708e-16,0.972916666666667,0.0100634560737426,0.00623739469591209
ForestGeometryDemo,DCC-like,Full,0.787853577371048,0.00431401807712258,0.00267385610620607,0.21198003327787,0.00423848545192297,0.00262704050008268,0.0171209695648472,0.000219522336434649,0.000136061353761391,2.3673544093178,4.6811112914356e-16,2.90138283768708e-16,0.979439252336449,0.00858819236890357,0.00532301677840481
ForestGeometryDemo,AoI-aware,Normal,0.4896,0.0402304472867117,0.0249350895638166,0.5104,0.0402304472867117,0.0249350895638166,0.0276494512548326,0.00416942620598815,0.00258423713599572,2.52288,0,0,NaN,NaN,NaN
ForestGeometryDemo,AoI-aware,Coop_1,0.932666666666667,0.00491909858248414,0.00304888888888888,0.0673333333333333,0.00491909858248414,0.00304888888888889,0.0127964774636072,0.000242267464333793,0.000150158930088685,1.11173333333333,0,0,NaN,NaN,NaN
ForestGeometryDemo,AoI-aware,LinkDeg_Emerg,0.756923076923077,0.0249127339517767,0.0154410724777666,0.243076923076923,0.0249127339517766,0.0154410724777666,0.0155006652251978,0.00153187751490939,0.000949467520528396,1.68184615384615,0,0,NaN,NaN,NaN
ForestGeometryDemo,AoI-aware,PosDeg_Emerg,0.853636363636364,0.0240331879501798,0.0148959242180664,0.144545454545455,0.0258731808559231,0.0160363636363636,0.0223395044031727,0.000825926576405021,0.00051191459565497,2.32,0,0,0.967796610169492,0.0125061828368241,0.00775141242937854
ForestGeometryDemo,AoI-aware,Recovery,0.94635761589404,0.0057986426209994,0.00359403593185858,0.0536423841059603,0.0057986426209994,0.00359403593185858,0.013579546523848,0.000297007702556252,0.000184087281247548,1.93735099337748,0,0,0.964583333333333,0.0100634560737426,0.00623739469591209
ForestGeometryDemo,AoI-aware,Full,0.810482529118137,0.00942709848533468,0.00584297617631468,0.189184692179701,0.00967191527179401,0.00599471519262698,0.0170457436600918,0.000723090872083301,0.000448176365767896,1.89547420965058,2.3405556457178e-16,1.45069141884354e-16,0.966355140186916,0.00653463456803833,0.00405020846672684
ForestGeometryDemo,Confidence-driven,Normal,0.4344,0.0206731172728686,0.0128133308359346,0.5656,0.0206731172728686,0.0128133308359346,0.0194782464902944,0.00255156004400538,0.00158147329984434,1.385568,0.0689111680676249,0.0427115844740063,NaN,NaN,NaN
ForestGeometryDemo,Confidence-driven,Coop_1,0.939333333333333,0.00798145999825244,0.00494696015900824,0.0606666666666667,0.00798145999825244,0.00494696015900824,0.0128134226452635,0.000494305485233933,0.000306373713877776,1.12748,0.0190528517680117,0.0118090798716627,NaN,NaN,NaN
ForestGeometryDemo,Confidence-driven,LinkDeg_Emerg,0.890769230769231,0.0311514718943332,0.0193078823159514,0.109230769230769,0.0311514718943332,0.0193078823159514,0.0255351452880356,0.00194041123525723,0.00120267934375556,2.67418461538462,0.0978374398097879,0.0606402734467579,NaN,NaN,NaN
ForestGeometryDemo,Confidence-driven,PosDeg_Emerg,0.975454545454546,0.0171687460293519,0.0106412990362579,0.0236363636363636,0.0161489849629991,0.0100092445790459,0.0280135331599538,0.00101444951750196,0.00062876232512675,3.94103636363637,0.0474918039422555,0.0294357250469475,0.989830508474576,0.00875250473719188,0.0054248586393842
