Scene,SceneRole,GeometryType,Config,Stage,BaselineMethod,ProposedMethod,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10011,Boundary,Open,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgTxCost,3.72145454545455,8.97195690676443e-16,2.71054545454546,0.166292298948245,-1.0109090909091,-27.1643541137386,-1.03774272792569,-0.984075453892503,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-6.0791094795299,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10011,Boundary,Open,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,EmgTimely,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,p = 1,1,p = 1,n.s.,n.s.,0,0,NotApplicable,1,p = 1,n.s.
10011,Boundary,Open,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,TimelyRate,0.997272727272727,0.0042082731807843,0.988727272727273,0.0094653855367732,-0.00854545454545446,-0.854545454545452,-0.0100097056682006,-0.00708120342270831,2.77100564716193e-11,p = 2.771e-11,8.31301694148578e-11,p = 8.313e-11,***,***,-1,-0.941731301988753,Below1pp,6.70583366613187e-09,p = 6.706e-09,***
10011,Boundary,Open,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,LossRate,0.00272727272727271,0.0042082731807843,0.0112727272727273,0.00946538553677331,0.00854545454545454,0.854545454545454,0.00708120342270838,0.0100097056682007,2.77100564716193e-11,p = 2.771e-11,8.31301694148578e-11,p = 8.313e-11,***,***,1,0.941731301988752,Below1pp,6.70583366613187e-09,p = 6.706e-09,***
10011,Boundary,Open,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgDelay,0.0169742256826354,0.000463244276931467,0.0134575453233072,0.000434349098824657,-0.00351668035932829,-20.7177660123008,-0.00354976798834426,-0.00348359273031232,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-17.150415714618,Meaningful,8.90029543402881e-306,p < 1e-15,***
10011,Boundary,Open,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgTxCost,3.72145454545455,8.97195690676443e-16,2.93503636363636,0.202625556651837,-0.786418181818186,-21.1320109439125,-0.819114708788281,-0.753721654848091,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-3.88114014250164,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10011,Boundary,Open,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,EmgTimely,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,p = 1,1,p = 1,n.s.,n.s.,0,0,NotApplicable,1,p = 1,n.s.
10019,DenseBlind,ShortRangeOccluded,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,TimelyRate,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10019,DenseBlind,ShortRangeOccluded,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,LossRate,0,0,0,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10019,DenseBlind,ShortRangeOccluded,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgDelay,0.038002221498906,0.000680781799367585,0.0120674774545689,0.000221077232603464,-0.0259347440443371,-68.2453367761242,-0.0260101458187354,-0.0258593422699388,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-55.5018939773003,Meaningful,8.90029543402881e-306,p < 1e-15,***
10019,DenseBlind,ShortRangeOccluded,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgTxCost,4.47409090909091,1.79439138135289e-15,3.15,8.97195690676443e-16,-1.32409090909091,-29.5946357817739,-1.32409090909091,-1.32409090909091,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-Inf,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10019,DenseBlind,ShortRangeOccluded,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10019,DenseBlind,ShortRangeOccluded,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,TimelyRate,0.429818181818182,0.0332650112204406,0.434545454545455,0.0331105163220312,0.00472727272727276,0.472727272727275,5.78030739761945e-05,0.00939674238056932,0.248032253007196,p = 0.248,0.496064506014392,p = 0.4961,n.s.,n.s.,0.197560975609756,0.163361797927902,Below1pp,1,p = 1,n.s.
10019,DenseBlind,ShortRangeOccluded,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,LossRate,0.526545454545455,0.0339077951674124,0.278909090909091,0.0370728611188816,-0.247636363636364,-24.7636363636364,-0.25441769405079,-0.240855033221938,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-5.89259938236861,Meaningful,8.90029543402881e-306,p < 1e-15,***
10019,DenseBlind,ShortRangeOccluded,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgDelay,0.0533095153585962,0.0015044222443331,0.0578285478911286,0.00212387888487855,0.00451903253253237,8.47697170408373,0.00410983295292962,0.00492823211213512,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,0.987450980392157,1.78204100219254,Meaningful,8.90029543402881e-306,p < 1e-15,***
10019,DenseBlind,ShortRangeOccluded,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgTxCost,2.99727272727273,0,4.42575272727273,0.0133160783385122,1.42848,47.6593266606006,1.42633126061231,1.43062873938769,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,107.274826993816,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10019,DenseBlind,ShortRangeOccluded,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,EmgTimely,0.429818181818182,0.0332650112204406,0.434545454545455,0.0331105163220312,0.00472727272727276,0.472727272727275,5.78030739761945e-05,0.00939674238056932,0.248032253007196,p = 0.248,0.496064506014392,p = 0.4961,n.s.,n.s.,0.197560975609756,0.163361797927902,Below1pp,1,p = 1,n.s.
10017,LongRange,LongMixed,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,TimelyRate,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10017,LongRange,LongMixed,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,LossRate,0,0,0,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10017,LongRange,LongMixed,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgDelay,0.0420936421048725,0.000749147174434635,0.0120674774545689,0.000221077232603464,-0.0300261646503036,-71.3318286298346,-0.0301118126630026,-0.0299405166376046,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-56.570494447448,Meaningful,8.90029543402881e-306,p < 1e-15,***
10017,LongRange,LongMixed,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgTxCost,6.12,0,2.70870909090909,0.165322287043686,-3.41129090909091,-55.7400475341652,-3.43796802083535,-3.38461379734646,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-20.6341865340242,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10017,LongRange,LongMixed,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,EmgTimely,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,p = 1,1,p = 1,n.s.,n.s.,0,0,NotApplicable,1,p = 1,n.s.
10017,LongRange,LongMixed,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,TimelyRate,1,0,0.999818181818182,0.00128564869306644,-0.000181818181818181,-0.0181818181818172,-0.000389275956945448,2.56395933090868e-05,0.317310527664727,p = 0.3173,0.951931582994182,p = 0.9519,n.s.,n.s.,-1,-0.141421356237309,Below1pp,1,p = 1,n.s.
10017,LongRange,LongMixed,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,LossRate,0,0,0.000181818181818181,0.00128564869306644,0.000181818181818181,0.0181818181818181,-2.56395933090868e-05,0.000389275956945448,0.317310527664727,p = 0.3173,0.951931582994182,p = 0.9519,n.s.,n.s.,1,0.141421356237309,Below1pp,1,p = 1,n.s.
10017,LongRange,LongMixed,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgDelay,0.0420936421048725,0.000749147174434635,0.012065870348222,0.000220349459202866,-0.0300277717566505,-71.3356465611577,-0.030113446504748,-0.0299420970085531,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-56.5558681406327,Meaningful,8.90029543402881e-306,p < 1e-15,***
10017,LongRange,LongMixed,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgTxCost,6.12,0,2.81161818181818,0.239452085108011,-3.30838181818182,-54.0585264408794,-3.34702083138504,-3.2697428049786,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-13.8164669423926,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10017,LongRange,LongMixed,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,EmgTimely,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,p = 1,1,p = 1,n.s.,n.s.,0,0,NotApplicable,1,p = 1,n.s.
10013,HeldOutHighNLOS,ShortHighNLOS,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,TimelyRate,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10013,HeldOutHighNLOS,ShortHighNLOS,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,LossRate,0,0,0,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
