Config,Profile,Vegetation,Variant,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgDelayMean,AvgDelayStd,AvgDelayCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
FG_Blind_Medium_Plus,Blind,Medium,Plus,Link-delay-aware,LinkDeg_Emerg,0.827692307692308,0.0215140276547723,0.0133345324904545,0.172307692307692,0.0215140276547723,0.0133345324904545,0.0210883061244368,0.00185659468471441,0.00115072930751011,2.23630769230769,4.6811112914356e-16,2.90138283768708e-16,NaN,NaN,NaN
FG_Blind_Medium_Plus,Blind,Medium,Plus,Link-delay-aware,PosDeg_Emerg,0.94,0.0219357103889138,0.0135958941568659,0.05,0.0219566314336204,0.0136088611547173,0.0303603942193852,0.00123478976083181,0.000765330622833884,3.67827272727273,4.6811112914356e-16,2.90138283768708e-16,0.967796610169491,0.0186526260104172,0.0115610173770987
FG_Blind_Medium_Plus,Blind,Medium,Plus,Link-delay-aware,Recovery,0.952317880794702,0.00522391150825576,0.00323781389760572,0.0463576158940397,0.00441501103752762,0.0027364521915806,0.0135964975800341,0.000295133048783349,0.000182925358801214,2.16529801324503,4.6811112914356e-16,2.90138283768708e-16,0.970833333333333,0.0107582870727983,0.00666805541090974
FG_Blind_Medium_Plus,Blind,Medium,Plus,Link-delay-aware,Full,0.815640599001664,0.0050101341278475,0.00310531330448011,0.182196339434276,0.00539163119667879,0.00334176763748435,0.0176166550509678,0.000311667070375453,0.000193173251555451,1.92517470881864,2.3405556457178e-16,1.45069141884354e-16,0.969158878504673,0.0108364655021346,0.00671651090342679
FG_Blind_Medium_Plus,Blind,Medium,Plus,Confidence-driven,Normal,0.412,0.0185711843695788,0.0115105393251383,0.588,0.0185711843695788,0.0115105393251383,0.017104065630533,0.00217423415985063,0.00134760429388744,1.39492,0.0592073178660281,0.0366970758068208,NaN,NaN,NaN
FG_Blind_Medium_Plus,Blind,Medium,Plus,Confidence-driven,Coop_1,0.934666666666667,0.00525873758497743,0.00325939932358974,0.0653333333333333,0.00525873758497743,0.00325939932358974,0.0124875640037233,0.000525376094540941,0.000325631477042852,1.12899333333333,0.0220191712204291,0.0136476237161739,NaN,NaN,NaN
FG_Blind_Medium_Plus,Blind,Medium,Plus,Confidence-driven,LinkDeg_Emerg,0.852307692307692,0.0325953817068117,0.0202028268896379,0.147692307692308,0.0325953817068117,0.0202028268896379,0.023250864728438,0.00247496994273804,0.00153400226326371,2.57049230769231,0.109177398782883,0.0676688528366156,NaN,NaN,NaN
FG_Blind_Medium_Plus,Blind,Medium,Plus,Confidence-driven,PosDeg_Emerg,0.95,0.0192847303959968,0.0119527997342716,0.0381818181818182,0.0195448672686026,0.0121140342383538,0.0306421637268012,0.00125407509520494,0.000777283796917062,4.03813636363637,0.038821132762247,0.0240615873717909,0.971186440677966,0.0160793779330596,0.00996610169491527
FG_Blind_Medium_Plus,Blind,Medium,Plus,Confidence-driven,Recovery,0.956291390728477,0.00639795882833974,0.00396549596561302,0.0417218543046358,0.00628267084801665,0.00389403973509934,0.0140371364887084,0.000539044964175627,0.000334103530215614,2.41090728476821,0.0653942803463124,0.0405317948810186,0.975,0.0087841046115788,0.00544444444444442
FG_Blind_Medium_Plus,Blind,Medium,Plus,Confidence-driven,Full,0.825291181364393,0.00496077199667174,0.00307471833860373,0.172046589018303,0.00515538548580022,0.00319534102885526,0.0184954867094809,0.000357677741515618,0.000221690960980726,2.1947387687188,0.0240080913395342,0.014880369177633,0.972897196261682,0.00929372828048368,0.00576031246692553
FG_Blind_Medium_Plus,Blind,Medium,Plus,Oracle,Normal,0.4352,0.0203786380528457,0.0126308107243975,0.5648,0.0203786380528456,0.0126308107243975,0.0203710865748051,0.00273390565219855,0.00169449227871528,1.77216,0.0630354538687907,0.0390697790832988,NaN,NaN,NaN
FG_Blind_Medium_Plus,Blind,Medium,Plus,Oracle,Coop_1,0.938666666666667,0.00688530372659096,0.00426755546298224,0.0613333333333334,0.00688530372659096,0.00426755546298224,0.012645162962628,0.000393281607715257,0.00024375846587768,1.20356666666667,0.0140891780552169,0.00873256303077283,NaN,NaN,NaN
FG_Blind_Medium_Plus,Blind,Medium,Plus,Oracle,LinkDeg_Emerg,0.863076923076923,0.0265975435484922,0.0164853282846355,0.136923076923077,0.0265975435484922,0.0164853282846355,0.024577243240669,0.002193006419785,0.00135923946113882,2.83046153846154,0.0582686877636825,0.0361153068420743,NaN,NaN,NaN
FG_Blind_Medium_Plus,Blind,Medium,Plus,Oracle,PosDeg_Emerg,0.952727272727273,0.0175653051468963,0.0108870889237739,0.0354545454545454,0.0173813701814545,0.0107730848510744,0.0309230207821138,0.00122179935109725,0.000757279083463876,3.84554545454545,0.0346066709068937,0.0214494368511271,0.976271186440678,0.00875250473719194,0.00542485863938423
FG_Blind_Medium_Plus,Blind,Medium,Plus,Oracle,Recovery,0.966887417218543,0.00764702343297517,0.00473967422830077,0.0304635761589404,0.00893971599616626,0.00554089337985359,0.0147459772090209,0.000574561881987807,0.000356117143943691,2.33415231788079,0.0277952918583702,0.0172277003783105,0.975,0.0131761569173682,0.00816666666666665
