Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,CI_Lower,CI_Upper,P_Value,Significant
10011,ForestGeometry,AvgDelay,0.0166905354019031,0.00123163457627225,0.0138114787863626,0.0005409154061993,-0.00287905661554058,-0.00325425753460346,-0.00250385569647771,0,***
10011,ForestGeometry,AvgTxCost,1.71880199667221,2.3405556457178e-16,1.84031613976705,0.014342991549154,0.121514143094841,0.115986464718168,0.127041821471515,0,***
10011,ForestGeometry,EmgTimely,0.995,0.0158113883008419,1,0,0.005,-0.00109358716528751,0.0110935871652875,0.317310527664727,n.s.
10019,Default,TimelyRate,1,0,1,0,0,0,0,1,n.s.
10019,Default,LossRate,0,0,0,0,0,0,0,1,n.s.
10019,Default,AvgDelay,0.0120549578410676,7.58304670317863e-05,0.0120549578410676,7.58304670317863e-05,0,0,0,1,n.s.
10019,Default,AvgTxCost,2.49966722129784,4.6811112914356e-16,3.1077537437604,0.0143322961765124,0.608086522462552,0.602562966000047,0.613610078925057,0,***
10019,Default,EmgTimely,1,0,1,0,0,0,0,1,n.s.
10019,ForestGeometry,TimelyRate,0.999500831946756,0.00112304252530874,1,0,0.000499168053244592,6.63561212317009e-05,0.000931979985257483,0.159853781702567,n.s.
10019,ForestGeometry,LossRate,0.000499168053244592,0.00112304252530874,0,0,-0.000499168053244592,-0.000931979985257483,-6.63561212317009e-05,0.159853781702567,n.s.
10019,ForestGeometry,AvgDelay,0.012203181899235,0.000100391263301523,0.0121510204218199,6.7418786447872e-05,-5.21614774151101e-05,-7.22657291912926e-05,-3.20572256389275e-05,0.00156690496561085,**
10019,ForestGeometry,AvgTxCost,2.49966722129784,4.6811112914356e-16,3.12622296173045,0.0193995998160262,0.626555740432603,0.619079284209947,0.634032196655258,0,***
10019,ForestGeometry,EmgTimely,0.999450549450549,0.00123616951961639,1,0,0.000549450549450547,7.30403458978977e-05,0.0010258607530032,0.159853781702567,n.s.
10017,Default,TimelyRate,0.904492512479201,0.0138146589540594,0.955574043261231,0.0102283973077943,0.05108153078203,0.0477147047307943,0.0544483568332658,0,***
10017,Default,LossRate,0.0955074875207987,0.0138146589540594,0.0444259567387687,0.0102283973077943,-0.05108153078203,-0.0544483568332658,-0.0477147047307943,0,***
10017,Default,AvgDelay,0.0394061779082804,0.00477603347287976,0.0259691846426566,0.00286486871191669,-0.0134369932656238,-0.0145401433465679,-0.0123338431846797,0,***
10017,Default,AvgTxCost,1.92312811980033,0,2.14841930116473,0.00639114664022764,0.225291181364393,0.222828082716927,0.227754280011859,0,***
10017,Default,EmgTimely,0.991666666666667,0.0134179414316569,1,0,0.00833333333333334,0.00316216214097382,0.0135045045256929,0.0495344752060798,*
10017,ForestGeometry,TimelyRate,0.798835274542429,0.0116194899245945,0.826622296173045,0.011306860726187,0.0277870216306157,0.0248398979965025,0.0307341452647289,0,***
10017,ForestGeometry,LossRate,0.185524126455907,0.0108188625641327,0.157737104825291,0.0102509284988556,-0.0277870216306157,-0.0307341452647288,-0.0248398979965025,0,***
10017,ForestGeometry,AvgDelay,0.0789217750947775,0.00277077216850155,0.0750309414914607,0.00235125004900652,-0.00389083360331683,-0.00439217317635099,-0.00338949403028268,0,***
10017,ForestGeometry,AvgTxCost,2.76296173044925,4.6811112914356e-16,3.05575540765391,0.0306894536601453,0.292793677204659,0.28096619834101,0.304621156068307,0,***
10017,ForestGeometry,EmgTimely,0.605555555555556,0.0536717657266275,0.641666666666667,0.0547002055101553,0.0361111111111111,0.0259551325022986,0.0462670897199236,1.46978352104643e-05,***
