Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10011,Boundary,Open,Low,Sparse,Default,Confidence-driven,0.997371048252912,0.00187435930627205,0.000519545892931272,0.00262895174708818,0.00187435930627205,0.000519545892931272,1.95318136439268,0.0355054136002654,0.00984159854042765,1,0,0
10011,Boundary,Open,Low,Sparse,Default,Oracle,0.997404326123128,0.0019063406375815,0.000528410665697463,0.00259567387687188,0.0019063406375815,0.000528410665697463,1.90844093178036,0.0272938430712696,0.00756546731597178,1,0,0
10011,Boundary,Open,Low,Sparse,ForestGeometry,Link-delay-aware,0.590316139767055,0.0137261284430038,0.00380468869258233,0.40522462562396,0.0142072081715434,0.0039380371900123,2.72888519134775,0,0,0.3,0.0868966075756889,0.0240865107477194
10011,Boundary,Open,Low,Sparse,ForestGeometry,Confidence-driven,0.679001663893511,0.010576086295384,0.00293154155644901,0.316539101497504,0.0106967752112149,0.00296499481716185,3.4273690515807,0.0491128544873894,0.0136133887209728,0.301,0.0883464885596271,0.0244883972525766
10011,Boundary,Open,Low,Sparse,ForestGeometry,Oracle,0.700432612312812,0.0118990171131528,0.00329823927054472,0.292113144758735,0.0121722350912538,0.00337397143028719,4.01327454242929,0.0184353274536993,0.00511001206191487,0.305,0.0980680729838999,0.0271830829745266
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Link-delay-aware,0.999833610648918,0.000504235879144198,0.000139767054908486,0.000166389351081531,0.000504235879144198,0.000139767054908486,2.49966722129784,8.97195690676443e-16,2.48689957516035e-16,1,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Confidence-driven,0.999833610648918,0.000504235879144198,0.000139767054908486,0.000166389351081531,0.000504235879144198,0.000139767054908486,3.10399101497504,0.0227197426938224,0.0062975913772412,1,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Oracle,0.999833610648918,0.000504235879144198,0.000139767054908486,0.000166389351081531,0.000504235879144198,0.000139767054908486,2.50805324459235,0.00700434275700963,0.00194150475840466,1,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Link-delay-aware,0.667054908485857,0.00940189229454057,0.00260607158460243,0.279434276206323,0.00882635264543101,0.00244654013302141,2.95835274542429,0,0,0.633699633699634,0.0104132646478976,0.00288640969835288
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Confidence-driven,0.668752079866889,0.0102890481242145,0.00285197863463002,0.262628951747088,0.00935435702313662,0.00259289547960237,3.36580066555741,0.0404300632054512,0.0112066417676991,0.635567765567766,0.0113716372425073,0.00315205702848919
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Oracle,0.666955074875208,0.0108634457670789,0.00301119353822988,0.263660565723794,0.00782755715340298,0.00216968814737223,3.0120452579035,0.0304802356065096,0.00844869026549443,0.633589743589744,0.0119980416927032,0.00332568748361279
10017,LongRange,LongMixed,Medium,Mixed,Default,Link-delay-aware,0.907054908485857,0.0105663053248994,0.00292883040975097,0.0929450915141431,0.0105663053248994,0.00292883040975097,1.92312811980033,2.24298922669111e-16,6.21724893790088e-17,0.986111111111111,0.0226225282757766,0.00627064491534332
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-driven,0.955840266222962,0.00897111697333425,0.00248666675749165,0.0441597337770382,0.00897111697333425,0.00248666675749165,2.3721387687188,0.0358786305447147,0.00994504899947898,0.998888888888889,0.00549857399228215,0.00152412695106509
10017,LongRange,LongMixed,Medium,Mixed,Default,Oracle,0.978236272878536,0.00661162439046819,0.0018326487809341,0.0217637271214642,0.00661162439046819,0.0018326487809341,2.44344925124792,0.0264360035703852,0.00732768633769973,0.986111111111111,0.0226225282757766,0.00627064491534332
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Link-delay-aware,0.521098169717138,0.00472644748127756,0.00131010440145391,0.478036605657238,0.00517780387706012,0.0014352140113843,2.17920133111481,4.48597845338221e-16,1.24344978758018e-16,0.02,0.0231659039989308,0.00642126098150453
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Confidence-driven,0.524226289517471,0.00519044650869822,0.00143871837008513,0.474808652246256,0.00555178739741116,0.00153887695443485,2.67856272878536,0.0782564995924392,0.0216915950012245,0.02,0.0231659039989308,0.00642126098150453
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Oracle,0.53783693843594,0.00699950115640583,0.00194016273518612,0.461830282861897,0.0072188547096803,0.00200096443810523,3.77787188019967,0.0460939805915837,0.0127765995692905,0.0155555555555556,0.0211176741200795,0.00585352062469278
