Config,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
ForestGeometry,Link-delay-aware,Normal,0.8896,0.0293675871057497,0.0105090560793137,0.1104,0.0293675871057497,0.0105090560793137,3.46528,2.25840514163348e-15,8.08159900838094e-16,NaN,NaN,NaN
ForestGeometry,Link-delay-aware,Coop_1,0.998888888888889,0.00252699347859636,0.000904273002851842,0.00111111111111112,0.00252699347859636,0.000904273002851841,2,0,0,NaN,NaN,NaN
ForestGeometry,Link-delay-aware,LinkDeg_Emerg,0.999487179487179,0.00280883362823161,0.0010051282051282,0.000512820512820511,0.00280883362823161,0.0010051282051282,2,0,0,NaN,NaN,NaN
ForestGeometry,Link-delay-aware,PosDeg_Emerg,0.963636363636364,0.0186461095397656,0.00667242460569936,0.0354545454545454,0.0183921997665914,0.00658156416027819,2.22818181818182,9.03362056653392e-16,3.23263960335238e-16,0.822222222222222,0.163377505951187,0.0584638896602878
ForestGeometry,Link-delay-aware,Recovery,0.986975717439294,0.00824649502357442,0.002950970345247,0.0130242825607064,0.00824649502357442,0.002950970345247,1.27682119205298,2.25840514163348e-16,8.08159900838094e-17,NaN,NaN,NaN
ForestGeometry,Link-delay-aware,Full,0.966777592900721,0.00686017676367921,0.00245488272713406,0.0330560177481974,0.0068914168727528,0.0024660618565939,2.16482529118137,9.03362056653392e-16,3.23263960335238e-16,0.822222222222222,0.163377505951187,0.0584638896602878
ForestGeometry,Confidence-driven,Normal,0.897333333333334,0.0291172816717843,0.0104194854301137,0.102666666666667,0.0291172816717843,0.0104194854301137,3.536,9.03362056653392e-16,3.23263960335238e-16,NaN,NaN,NaN
ForestGeometry,Confidence-driven,Coop_1,0.998888888888889,0.00252699347859636,0.000904273002851842,0.00111111111111112,0.00252699347859636,0.000904273002851841,2.00264444444444,0.00732074851884135,0.00261969621304007,NaN,NaN,NaN
ForestGeometry,Confidence-driven,LinkDeg_Emerg,0.999487179487179,0.00280883362823161,0.0010051282051282,0.000512820512820511,0.00280883362823161,0.0010051282051282,2.28466666666667,0.14988289427707,0.053634904890746,NaN,NaN,NaN
ForestGeometry,Confidence-driven,PosDeg_Emerg,0.99030303030303,0.0092257502437259,0.00330139232535301,0.00606060606060605,0.00803715131579076,0.00287605766151074,3.49667575757576,0.22637297595434,0.0810065290886476,0.916666666666667,0.0953919119120565,0.0341355572790823
ForestGeometry,Confidence-driven,Recovery,0.993818984547462,0.00548133766089182,0.00196147149101973,0.00618101545253864,0.00548133766089183,0.00196147149101973,1.38393818984547,0.0375837959300378,0.0134491886473343,NaN,NaN,NaN
ForestGeometry,Confidence-driven,Full,0.974986134220743,0.00614054263955089,0.00219736496308283,0.0243483083749306,0.00587029705649936,0.00210065882317257,2.47006489184692,0.0439517700525543,0.0157279389213751,0.916666666666667,0.0953919119120565,0.0341355572790823
ForestGeometry,Oracle,Normal,0.8992,0.0292320089085165,0.0104605400445191,0.1008,0.0292320089085165,0.0104605400445191,3.57632,9.03362056653392e-16,3.23263960335238e-16,NaN,NaN,NaN
ForestGeometry,Oracle,Coop_1,0.998888888888889,0.00252699347859636,0.000904273002851842,0.00111111111111112,0.00252699347859636,0.000904273002851841,2.00264444444444,0.00732074851884135,0.00261969621304007,NaN,NaN,NaN
ForestGeometry,Oracle,LinkDeg_Emerg,0.999487179487179,0.00280883362823161,0.0010051282051282,0.000512820512820511,0.00280883362823161,0.0010051282051282,2.28430769230769,0.143259288815319,0.0512646781167813,NaN,NaN,NaN
ForestGeometry,Oracle,PosDeg_Emerg,0.990909090909091,0.00893279426255486,0.00319655937384729,0.00545454545454544,0.00700120089035417,0.00250534756275119,3.47391212121212,0.196363162491204,0.0702676552588635,0.911111111111111,0.104801704138309,0.0375028081820693
ForestGeometry,Oracle,Recovery,0.99514348785872,0.00519811425672119,0.00186012129746499,0.00485651214128036,0.0051981142567212,0.00186012129746499,1.40871964679912,0.0239549582795189,0.00857217172900791,NaN,NaN,NaN
ForestGeometry,Oracle,Full,0.975818080976151,0.00620626562453558,0.00222088363121232,0.023516361619523,0.00598704086667292,0.00214243505911627,2.4804719911259,0.037291132110025,0.0133444602443564,0.911111111111111,0.104801704138309,0.0375028081820693
