Config,Profile,Vegetation,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgDelayMean,AvgDelayStd,AvgDelayCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
FG_blind_sparse,blind,sparse,Confidence-driven,Normal,1,0,0,0,0,0,0.0120413154466624,0.00017523415416606,0.000108611253999495,1.00048,0.0015178932768808,0.000940799999999983,NaN,NaN,NaN
FG_blind_sparse,blind,sparse,Confidence-driven,Coop_1,0.962,0.00773001205818949,0.00479111111111119,0.038,0.00773001205818936,0.0047911111111111,0.0123988442573863,0.000488203846498461,0.00030259187900851,1.08272,0.0162757351771157,0.0100878051756683,NaN,NaN,NaN
FG_blind_sparse,blind,sparse,Confidence-driven,LinkDeg_Emerg,0.927692307692308,0.02057682322845,0.012753647168862,0.0723076923076923,0.0205768232284501,0.0127536471688621,0.0190334490578901,0.00108055162022376,0.000669732832861302,2.19941538461538,0.115123917457706,0.071354543296204,NaN,NaN,NaN
FG_blind_sparse,blind,sparse,Confidence-driven,PosDeg_Emerg,0.996363636363636,0.00469452526813018,0.00290969690657879,0.00363636363636362,0.00469452526813018,0.00290969690657879,0.0144042125294645,0.000483893695961948,0.000299920420028809,2.86944545454545,0.0622349063058802,0.0385735945631764,0.998305084745763,0.00535979264435321,0.0033220338983051
FG_blind_sparse,blind,sparse,Confidence-driven,Recovery,0.981456953642384,0.00926100528185575,0.00574003054224871,0.0178807947019868,0.00989691468938624,0.00613417127646033,0.0149467658550335,0.000625402402482588,0.000387628425013319,2.44003973509934,0.0366839757505638,0.0227369637324246,0.983333333333334,0.00878410461157871,0.00544444444444437
FG_blind_sparse,blind,sparse,Confidence-driven,Full,0.977371048252912,0.00458703785427292,0.00284307551725113,0.0224625623960067,0.00485104150985464,0.00300670667825191,0.0140243664891809,0.000250168858227739,0.000155056264762108,1.85443427620632,0.016647474698982,0.0103182117184066,0.991588785046729,0.00530510478689296,0.00328813801307901
FG_blind_sparse,blind,sparse,Oracle,Normal,1,0,0,0,0,0,0.0120310718510553,0.000198330642547567,0.000122926605809982,1.00028,0.000885437744847119,0.000548799999999983,NaN,NaN,NaN
FG_blind_sparse,blind,sparse,Oracle,Coop_1,0.966,0.00913546879604209,0.00566222222222228,0.034,0.00913546879604196,0.00566222222222221,0.0127234617711085,0.000560346582272301,0.000347306409897994,1.13703333333333,0.0120351850427128,0.00745948497212642,NaN,NaN,NaN
FG_blind_sparse,blind,sparse,Oracle,LinkDeg_Emerg,0.946153846153846,0.0166172838420715,0.0102994992314261,0.0538461538461538,0.0166172838420714,0.010299499231426,0.0209830941021248,0.00119728841337061,0.000742087046866541,2.38776923076923,0.0874546562326931,0.0542049575137407,NaN,NaN,NaN
FG_blind_sparse,blind,sparse,Oracle,PosDeg_Emerg,0.996363636363636,0.00469452526813018,0.00290969690657879,0.00272727272727271,0.00439132628672405,0.00272177223094345,0.0146974399349467,0.000480395696436632,0.000297752337460988,2.61727272727273,0.048210968883244,0.0298814680954129,0.998305084745763,0.00535979264435321,0.0033220338983051
FG_blind_sparse,blind,sparse,Oracle,Recovery,0.9841059602649,0.00711899138922632,0.00441239657688396,0.0152317880794702,0.00767881992535369,0.00475938189845475,0.0150622332339705,0.000461122639596847,0.000285806773071817,2.28624503311258,0.0195597957004592,0.0121232869762799,0.98125,0.00658807845868403,0.00408333333333327
FG_blind_sparse,blind,sparse,Oracle,Full,0.981031613976705,0.00385857507064358,0.00239156960621185,0.0186356073211315,0.00406056688135841,0.0025167654275617,0.0143976032261102,0.000258880128624644,0.000160455566092601,1.80352412645591,0.0111078398129605,0.00688471044387774,0.990654205607477,0.00440564972701904,0.00273064999121473
FG_curved_dense,curved,dense,Link-delay-aware,Normal,0.3616,0.0154574685292687,0.00958063825292101,0.6384,0.0154574685292687,0.00958063825292102,0.0225975001902807,0.0015249433288955,0.000945169667509849,1.10064,0,0,NaN,NaN,NaN
FG_curved_dense,curved,dense,Link-delay-aware,Coop_1,0.878666666666667,0.00612624388981798,0.00379708530192883,0.121333333333333,0.00612624388981797,0.00379708530192882,0.0124542508625282,0.000292211371127577,0.000181114484228926,1.038,0,0,NaN,NaN,NaN
FG_curved_dense,curved,dense,Link-delay-aware,LinkDeg_Emerg,0.990769230769231,0.00794458122298937,0.00492410245728709,0.00923076923076918,0.00794458122298953,0.00492410245728718,0.0124144140549506,0.000482220693162321,0.000298883482150591,1.45169230769231,0,0,NaN,NaN,NaN
FG_curved_dense,curved,dense,Link-delay-aware,PosDeg_Emerg,0.943636363636364,0.0103208402217738,0.0063969230436266,0.0554545454545455,0.0100045903146783,0.00620090932044387,0.0181922438245066,0.000275260681456286,0.00017060833792362,2.315,4.6811112914356e-16,2.90138283768708e-16,0.915094339622642,0.0270513373177438,0.0167665925768058
FG_curved_dense,curved,dense,Link-delay-aware,Recovery,0.979470198675497,0.0110154304193153,0.00682743450829944,0.0198675496688741,0.0120910056844408,0.00749408296431567,0.0144631048678324,0.000404598809301677,0.000250772940093142,2.09735099337748,4.6811112914356e-16,2.90138283768708e-16,0.95,0.0247683983305421,0.0153516123328897
FG_curved_dense,curved,dense,Link-delay-aware,Full,0.820465890183028,0.0058932008692798,0.00365264374133844,0.179201331114809,0.00560424540391307,0.00347354728840754,0.0151941329187332,0.000172193652697604,0.000106726731665092,1.59565723793677,0,0,0.932710280373832,0.0210366891166782,0.0130386749993654
FG_curved_dense,curved,dense,Confidence-driven,Normal,0.4512,0.0247870934157275,0.0153631996667361,0.5488,0.0247870934157275,0.0153631996667361,0.034077250230457,0.0017829040312133,0.00110505536727347,1.649584,0.144323832420167,0.0894528380940671,NaN,NaN,NaN
