Scene,SceneRole,GeometryType,Config,BaselineMethod,ProposedMethod,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10011,Boundary,Open,Default,DCC-like,Risk-constrained-v6,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10011,Boundary,Open,ForestGeometry,DCC-like,Risk-constrained-v6,TimelyRate,0.607454242928453,0.0112139560483072,0.801863560732113,0.0107351596301574,0.194409317803661,19.4409317803661,0.192533110461351,0.19628552514597,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,16.7202839474202,Meaningful,8.90029543402881e-306,p < 1e-15,***
10011,Boundary,Open,ForestGeometry,DCC-like,Risk-constrained-v6,LossRate,0.390349417637271,0.0110727974317586,0.191913477537438,0.010665300737095,-0.198435940099834,-19.8435940099834,-0.200351298398018,-0.196520581801649,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-16.71774547033,Meaningful,8.90029543402881e-306,p < 1e-15,***
10011,Boundary,Open,ForestGeometry,DCC-like,Risk-constrained-v6,AvgDelay,0.161662824197085,0.0033085507668536,0.0918747681598966,0.00357534409709855,-0.0697880560371888,-43.1688957456967,-0.0704543731549702,-0.0691217389194073,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-16.900810566012,Meaningful,8.90029543402881e-306,p < 1e-15,***
10011,Boundary,Open,ForestGeometry,DCC-like,Risk-constrained-v6,AvgTxCost,2.96182529118137,0.00079875554161071,3.22404059900166,0.0739633217627875,0.262215307820292,8.85316593794443,0.250289008216777,0.274141607423808,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,3.54780490540701,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10011,Boundary,Open,ForestGeometry,DCC-like,Risk-constrained-v6,EmgTimely,0.392,0.0965528299926617,0.485,0.0991031208965115,0.093,9.3,0.0784196986334448,0.107580301366555,3.41504602374698e-13,p = 3.415e-13,3.41504602374698e-13,p = 3.415e-13,***,***,0.855689176688252,1.02925705182921,Meaningful,4.95181673443312e-11,p = 4.952e-11,***
10019,DenseBlind,ShortRangeOccluded,Default,DCC-like,Risk-constrained-v6,TimelyRate,1,0,0.999866888519135,0.000455985882891538,-0.000133111480865198,-0.0133111480865256,-0.000206691314348708,-5.95316473816877e-05,0.0389998213215357,p = 0.039,0.116999463964607,p = 0.117,*,n.s.,-1,-0.291920179679905,Below1pp,1,p = 1,n.s.
10019,DenseBlind,ShortRangeOccluded,Default,DCC-like,Risk-constrained-v6,LossRate,0,0,0.000133111480865225,0.000455985882891631,0.000133111480865225,0.0133111480865225,5.95316473816997e-05,0.00020669131434875,0.0389998213215357,p = 0.039,0.116999463964607,p = 0.117,*,n.s.,1,0.291920179679905,Below1pp,1,p = 1,n.s.
10019,DenseBlind,ShortRangeOccluded,Default,DCC-like,Risk-constrained-v6,AvgDelay,0.0367962837382495,0.000303903718745761,0.0120953488285495,0.000119765073810153,-0.0247009349097001,-67.1288847683919,-0.0247374923763733,-0.0246643774430268,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-109.029671061487,Meaningful,8.90029543402881e-306,p < 1e-15,***
10019,DenseBlind,ShortRangeOccluded,Default,DCC-like,Risk-constrained-v6,AvgTxCost,4.58066555740433,0,3.04475873544092,0,-1.53590682196341,-33.5302108987355,-1.53590682196341,-1.53590682196341,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-Inf,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10019,DenseBlind,ShortRangeOccluded,Default,DCC-like,Risk-constrained-v6,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10019,DenseBlind,ShortRangeOccluded,ForestGeometry,DCC-like,Risk-constrained-v6,TimelyRate,0.612079866888519,0.00776814244600303,0.617803660565724,0.00781339667881792,0.00572379367720471,0.572379367720455,0.00429566731605813,0.00715192003835129,4.81066471524905e-06,p = 4.811e-06,4.81066471524905e-06,p = 4.811e-06,***,***,0.64734693877551,0.646732577883083,Below1pp,0.000558037106968889,p = 5.580e-04,***
