Scene,Config,Stage,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10019,ForestGeometry,PosDeg_Emerg,EmgTimely,0.622545454545455,0.0414462772081796,0.632363636363636,0.047969743654632,0.00981818181818175,0.981818181818184,0.00530559199063063,0.0143307716457329,0.0130446795591985,p = 0.01304,0.026089359118397,p = 0.02609,*,*,0.457575757575758,0.35108527392247,Below1pp,0.35220634809836,p = 0.3522,n.s.
10017,Default,PosDeg_Emerg,TimelyRate,0.999454545454545,0.00218089034074631,1,0,0.000545454545454542,0.0545454545454627,0.000193536746814977,0.000897372344094108,0.0769740809715007,p = 0.07697,0.307896323886003,p = 0.3079,n.s.,n.s.,1,0.250106360353674,Below1pp,1,p = 1,n.s.
10017,Default,PosDeg_Emerg,LossRate,0.000545454545454542,0.00218089034074631,0,0,-0.000545454545454542,-0.0545454545454542,-0.000897372344094108,-0.000193536746814977,0.0769740809715009,p = 0.07697,0.307896323886003,p = 0.3079,n.s.,n.s.,-1,-0.250106360353674,Below1pp,1,p = 1,n.s.
10017,Default,PosDeg_Emerg,AvgDelay,0.0120194185903504,0.000165628431594544,0.0120272866108671,0.000174833805038447,7.86802051669006e-06,0.0654609077597724,2.76875596809059e-06,1.29672850652895e-05,0.0783131482312225,p = 0.07831,0.307896323886003,p = 0.3079,n.s.,n.s.,1,0.248980504964813,Sub-ms,1,p = 1,n.s.
10017,Default,PosDeg_Emerg,AvgTxCost,2,0,3.01694545454546,0.169523929356268,1.01694545454546,50.8472727272728,0.98959034781626,1.04430056127465,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,5.99883130604097,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10017,Default,PosDeg_Emerg,EmgTimely,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,p = 1,1,p = 1,n.s.,n.s.,0,0,NotApplicable,1,p = 1,n.s.
10017,ForestGeometry,PosDeg_Emerg,TimelyRate,0.998909090909091,0.00350408767876154,0.999818181818182,0.00128564869306644,0.000909090909090902,0.090909090909097,0.000374805447865874,0.00144337637031593,0.0522034983949922,p = 0.0522,0.18208338234415,p = 0.1821,n.s.,n.s.,1,0.274562589193458,Below1pp,1,p = 1,n.s.
10017,ForestGeometry,PosDeg_Emerg,LossRate,0.00109090909090909,0.00350408767876156,0.000181818181818181,0.00128564869306644,-0.000909090909090906,-0.0909090909090906,-0.00144337637031594,-0.000374805447865875,0.0522034983949928,p = 0.0522,0.18208338234415,p = 0.1821,n.s.,n.s.,-1,-0.274562589193457,Below1pp,1,p = 1,n.s.
10017,ForestGeometry,PosDeg_Emerg,AvgDelay,0.0120191320029638,0.000165270864130894,0.012033367609173,0.000184649171801262,1.42356062091961e-05,0.118441216933843,6.11328731685913e-06,2.2357925101533e-05,0.0455208455860374,p = 0.04552,0.18208338234415,p = 0.1821,*,n.s.,1,0.282815581428484,Sub-ms,1,p = 1,n.s.
10017,ForestGeometry,PosDeg_Emerg,AvgTxCost,2,0,3.09669090909091,0.266266945034262,1.09669090909091,54.8345454545455,1.05372493533412,1.1396568828477,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.11876475673612,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10017,ForestGeometry,PosDeg_Emerg,EmgTimely,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,p = 1,1,p = 1,n.s.,n.s.,0,0,NotApplicable,1,p = 1,n.s.
