Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Candidate,TimelyRate,EmergencyTimely,AvgDelay,AvgTxCost,TimelyGainVsHeuristic_pp,EmergencyGainVsHeuristic_pp,TimelyGainVsLink_pp,CostDeltaVsProposedPct,TimelyDeltaVsProposed_pp
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,ProtectHigh,0.707487520798669,0.800657894736842,0.087921668841903,2.94181031613976,0.199667221297839,0.065789473684208,1.36439267886855,0.0226291957357786,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,EmergencyFloorLow,0.707487520798669,0.800657894736842,0.087921668841903,2.94114475873543,0.199667221297839,0.065789473684208,1.36439267886855,0,0
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,EmergencyFloorHigh,0.707487520798669,0.800657894736842,0.087921668841903,3.24463893510815,0.199667221297839,0.065789473684208,1.36439267886855,10.3189132555043,0
10011,Boundary,Open,Low,Sparse,Default,Proposed,0.998336106489185,1,0.0124629874840662,1.86289517470882,0,0,0.0332778702163083,0,0
10011,Boundary,Open,Low,Sparse,Default,TimelyLow,0.998336106489185,1,0.0124629874840662,1.86289517470882,0,0,0.0332778702163083,0,0
10011,Boundary,Open,Low,Sparse,Default,TimelyHigh,0.998336106489185,1,0.0124629874840662,1.86289517470882,0,0,0.0332778702163083,0,0
10011,Boundary,Open,Low,Sparse,Default,ProtectLow,0.998336106489185,1,0.0124629874840662,1.85267886855241,0,0,0.0332778702163083,-0.548410146480887,0
10011,Boundary,Open,Low,Sparse,Default,ProtectHigh,0.998336106489185,1,0.0124629874840662,1.86998336106489,0,0,0.0332778702163083,0.380493033226153,0
10011,Boundary,Open,Low,Sparse,Default,EmergencyFloorLow,0.998336106489185,1,0.0124629874840662,1.86289517470882,0,0,0.0332778702163083,0,0
10011,Boundary,Open,Low,Sparse,Default,EmergencyFloorHigh,0.998336106489185,1,0.0124629874840662,1.8828618968386,0,0,0.0332778702163083,1.07181136120043,0
10011,Boundary,Open,Low,Sparse,ForestGeometry,Proposed,0.711148086522463,0.26,0.123304039920106,3.7254309484193,3.62728785357739,5.55111512312578e-15,12.9118136439268,0,0
10011,Boundary,Open,Low,Sparse,ForestGeometry,TimelyLow,0.711148086522463,0.26,0.123304039920106,3.7254309484193,3.62728785357739,5.55111512312578e-15,12.9118136439268,0,0
10011,Boundary,Open,Low,Sparse,ForestGeometry,TimelyHigh,0.711148086522463,0.26,0.123304039920106,3.7254309484193,3.62728785357739,5.55111512312578e-15,12.9118136439268,0,0
10011,Boundary,Open,Low,Sparse,ForestGeometry,ProtectLow,0.711148086522463,0.26,0.123312850087571,3.7182762063228,3.62728785357739,5.55111512312578e-15,12.9118136439268,-0.192051394739747,0
10011,Boundary,Open,Low,Sparse,ForestGeometry,ProtectHigh,0.711148086522463,0.26,0.1232856922295,3.73687853577371,3.62728785357739,5.55111512312578e-15,12.9118136439268,0.307282231583617,0
10011,Boundary,Open,Low,Sparse,ForestGeometry,EmergencyFloorLow,0.711148086522463,0.26,0.123304039920106,3.7254309484193,3.62728785357739,5.55111512312578e-15,12.9118136439268,0,0
10011,Boundary,Open,Low,Sparse,ForestGeometry,EmergencyFloorHigh,0.711148086522463,0.26,0.123304039920106,3.74899168053245,3.62728785357739,5.55111512312578e-15,12.9118136439268,0.63242970918952,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Proposed,1,1,0.0120810328351883,3.04475873544092,0,0,0,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,TimelyLow,1,1,0.0120810328351883,3.04475873544092,0,0,0,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,TimelyHigh,1,1,0.0120810328351883,3.04475873544092,0,0,0,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,ProtectLow,1,1,0.0120810328351883,3.04475873544092,0,0,0,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,ProtectHigh,1,1,0.0120810328351883,3.04475873544092,0,0,0,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,EmergencyFloorLow,1,1,0.0120810328351883,3.04475873544092,0,0,0,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,EmergencyFloorHigh,1,1,0.0120810328351883,3.58985024958403,0,0,0,17.9026176293789,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Proposed,0.66522462562396,0.631501831501831,0.039853064168136,3.3177237936772,0.299500831946753,0.329670329670328,0,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,TimelyLow,0.66522462562396,0.631501831501831,0.039853064168136,3.3177237936772,0.299500831946753,0.329670329670328,0,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,TimelyHigh,0.66522462562396,0.631501831501831,0.039853064168136,3.3177237936772,0.299500831946753,0.329670329670328,0,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,ProtectLow,0.66522462562396,0.631501831501831,0.039853064168136,3.3177237936772,0.299500831946753,0.329670329670328,0,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,ProtectHigh,0.66522462562396,0.631501831501831,0.039853064168136,3.32074875207987,0.299500831946753,0.329670329670328,0,0.0911757153632795,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,EmergencyFloorLow,0.66522462562396,0.631501831501831,0.039853064168136,3.3177237936772,0.299500831946753,0.329670329670328,0,0,0
