Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,TimelyRateMean,TimelyRateCI95,EmergencyTimelyRateMean,EmergencyTimelyRateCI95,LossRateMean,LossRateCI95,AvgDelayMean,AvgDelayCI95,AvgTxCostMean,AvgTxCostCI95
10011,Boundary,Open,Low,Sparse,Default,Risk-constrained-v6,0.995108153078203,0.000592322159212997,1,0,0.004891846921797,0.00059232215921299,0.013062506390905,0.000135407734703236,1.88823460898503,0.00912899193270441
10011,Boundary,Open,Low,Sparse,Default,Constrained Oracle,0.998668885191348,0.000395320929249075,1,0,0.00133111480865225,0.000395320929249051,0.0129723915005111,0.000118800510936653,1.94338269550749,0.00756546731597177
10011,Boundary,Open,Low,Sparse,Default,DCC-like,0.999966722129784,6.5224625623947e-05,1,0,3.32778702163062e-05,6.52246256239601e-05,0.0203670922193614,5.15658917448948e-05,3.62402662229617,1.24344978758018e-16
10011,Boundary,Open,Low,Sparse,Default,AoI-aware,0.993211314475873,0.000868307320338663,0.997,0.00332481578437062,0.00678868552412645,0.000868307320338659,0.0139775756473799,0.000172158774827606,1.83554076539101,1.86517468137026e-16
10011,Boundary,Open,Low,Sparse,ForestGeometry,Link-delay-aware,0.672978369384359,0.00352751175666546,0.451,0.0252761072952304,0.324026622296173,0.0035795528539966,0.134645181286447,0.00105530559903654,2.35610316139767,0.000156539101498745
10011,Boundary,Open,Low,Sparse,ForestGeometry,Confidence-heuristic,0.760865224625624,0.00245827607355584,0.484,0.0249561535497761,0.235906821963394,0.00255057749445983,0.109125079438873,0.000735233613148661,3.00437337770382,0.0169730085919673
10011,Boundary,Open,Low,Sparse,ForestGeometry,Risk-constrained-v6,0.801863560732113,0.00297563443526891,0.485,0.027469983618488,0.191913477537438,0.00295627053804075,0.0918747681598966,0.000991034822004402,3.22404059900166,0.0205015868199994
10011,Boundary,Open,Low,Sparse,ForestGeometry,Constrained Oracle,0.790249584026622,0.00257618314768397,0.477,0.0276066368831844,0.201996672212978,0.00254667694059277,0.0998260727198917,0.000747756700965962,3.50847920133111,0.0104052525512004
10011,Boundary,Open,Low,Sparse,ForestGeometry,DCC-like,0.607454242928453,0.00310835003134889,0.392,0.0267630790455807,0.390349417637271,0.00306922285907497,0.161662824197085,0.000917083483791717,2.96182529118137,0.000221403740313441
10011,Boundary,Open,Low,Sparse,ForestGeometry,AoI-aware,0.80459234608985,0.00277219927151214,0.327,0.0211784418690328,0.19414309484193,0.00275693640422429,0.0887487517363748,0.000899433876839666,4.03743760399334,0.00139767054908461
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Link-delay-aware,0.999866888519135,0.000126392838287833,1,0,0.000133111480865225,0.000126392838287859,0.0120961677381482,3.31372438121369e-05,2.49966722129784,1.24344978758018e-16
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Confidence-heuristic,0.999866888519135,0.000126392838287833,1,0,0.000133111480865225,0.000126392838287859,0.0120953488285495,3.31971847694629e-05,2.98048585690515,0.00362743951445283
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Risk-constrained-v6,0.999866888519135,0.000126392838287833,1,0,0.000133111480865225,0.000126392838287859,0.0120953488285495,3.31971847694629e-05,3.04475873544092,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Constrained Oracle,0.999866888519135,0.000126392838287833,1,0,0.000133111480865225,0.000126392838287859,0.0120961677381482,3.31372438121369e-05,2.50805324459235,0.00194150475840479
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,DCC-like,1,0,1,0,0,0,0.0367962837382495,8.42378130983513e-05,4.58066555740433,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,AoI-aware,0.997936772046589,0.000422498440419514,0.997875457875458,0.00046279032503297,0.00206322795341098,0.000422498440419473,0.0128245765005516,4.48066512515586e-05,1.68742096505824,1.86517468137026e-16
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Link-delay-aware,0.62495840266223,0.00228998176617932,0.587326007326007,0.00251948879738162,0.341430948419301,0.00242442017487663,0.0398656421334791,6.44661162822352e-05,2.84199667221298,2.48689957516035e-16
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Confidence-heuristic,0.624525790349418,0.00181783161528474,0.586849816849817,0.00199167234036479,0.320399334442596,0.00300802024633557,0.0403948639859786,6.99749379080818e-05,3.34062262895175,0.0164478209918314
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Risk-constrained-v6,0.617803660565724,0.0021657630640715,0.57945054945055,0.00238092352757947,0.31414309484193,0.0022167757943053,0.0408994908368847,7.71314493502602e-05,3.32302396006655,0.000989377367139735
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Constrained Oracle,0.612445923460898,0.0021080488294795,0.573553113553114,0.00234187784640207,0.312113144758735,0.00253144336582536,0.0412395423231259,7.17432338210027e-05,2.99996539101498,0.0122390165044128
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,DCC-like,0.612079866888519,0.00215321923071038,0.573003663003663,0.00237011860376727,0.375607321131448,0.00239162809387463,0.056754695992424,6.40349314154591e-05,3.77895174708817,3.73034936274053e-16
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,AoI-aware,0.6261231281198,0.00208404505456793,0.588608058608059,0.00232956020658012,0.308885191347754,0.00228573149806821,0.040977662263402,7.0344990949513e-05,3.3155074875208,2.48689957516035e-16
10017,LongRange,LongMixed,Medium,Mixed,Default,Link-delay-aware,0.868153078202995,0.00353286095547403,0.931666666666667,0.0104593038504977,0.131846921797005,0.00353286095547403,0.0530802570408887,0.00106608911950358,2.04720133111481,0.000143048771750165
10017,LongRange,LongMixed,Medium,Mixed,Default,Confidence-heuristic,0.977271214642263,0.00166058319625087,0.981111111111111,0.00784592368803819,0.0225956738768719,0.0016221811811287,0.0285740326100353,0.000391377146144968,2.98199933444259,0.0100144499377732
10017,LongRange,LongMixed,Medium,Mixed,Default,Risk-constrained-v6,0.979001663893511,0.0016376288450504,0.981111111111111,0.00784592368803819,0.020865224625624,0.00164112420844024,0.0297007229405134,0.000385184094399521,2.86951680532446,0.00867205468565499
