Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Seed,SafetyViolationRate,MeanSafetyViolation,MaxSafetyViolation,BudgetViolationRate,MeanBudgetViolation,MaxBudgetViolation,MeanFeasibleSequenceRatio,NoFeasibleSequenceRate,MeanAoIAge
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,1,0.312811980033278,0.878200086013782,3.54745690288588,0.261231281198003,0.193675570720921,1.34468085106383,0.00676896530473902,0.29783693843594,18.583693843594
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,2,0.317803660565724,0.877186326465555,3.51177918624247,0.261231281198003,0.193675570720921,1.34468085106383,0.0066851543723424,0.29783693843594,18.583693843594
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,3,0.29783693843594,0.876770618639715,3.51177918624247,0.261231281198003,0.193675570720921,1.34468085106383,0.00680676239189829,0.29783693843594,18.583693843594
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,4,0.29783693843594,0.876725072781512,3.51177918624247,0.261231281198003,0.193675570720921,1.34468085106383,0.00680676239189829,0.29783693843594,18.583693843594
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,5,0.299500831946755,0.878963267119456,3.51177918624247,0.257903494176373,0.189218187908314,1.34468085106383,0.00679690228220457,0.29783693843594,18.583693843594
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,6,0.319467554076539,0.883057639458356,3.51177918624247,0.254575707154742,0.182907919425072,1.34468085106383,0.00668844107557365,0.29783693843594,18.583693843594
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,7,0.301164725457571,0.881199712678339,3.51177918624247,0.252911813643927,0.1850216905267,1.34468085106383,0.00679772395801238,0.29783693843594,18.583693843594
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,8,0.306156405990017,0.878563727473469,3.51177918624247,0.259567387687188,0.190421310908442,1.34468085106383,0.00678457714508742,0.29783693843594,18.583693843594
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,9,0.312811980033278,0.877588024050092,3.51177918624247,0.261231281198003,0.194390690910675,1.34468085106383,0.00672459481111729,0.29783693843594,18.583693843594
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,10,0.316139767054908,0.878469745158968,3.53130500921879,0.261231281198003,0.193187567910547,1.34468085106383,0.00676074854666093,0.29783693843594,18.583693843594
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,1,0.221297836938436,0.157333566536743,3.27454107485829,0.0482529118136439,0.0551644694739537,1.87692307692308,0.0147531891292291,0.0532445923460899,17.9703826955075
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,2,0.227953410981697,0.174089953774289,3.45454107485829,0.0249584026622296,0.0308721688620439,1.87692307692308,0.0151934019432633,0.0532445923460899,17.9703826955075
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,3,0.222961730449251,0.159694418486575,3.27454107485829,0.0482529118136439,0.0551644694739537,1.87692307692308,0.0146738974137754,0.0532445923460899,17.9703826955075
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,4,0.198003327787022,0.159457417208952,3.27454107485829,0.0482529118136439,0.0504140671167258,1.87692307692308,0.0150956225221339,0.0532445923460899,17.9703826955075
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,5,0.236272878535774,0.158559925844249,3.27454107485829,0.0482529118136439,0.0551644694739537,1.87692307692308,0.0144805981799881,0.0532445923460899,17.9703826955075
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,6,0.242928452579035,0.15793628958234,3.27454107485829,0.0482529118136439,0.0551644694739537,1.87692307692308,0.0148353567100101,0.0532445923460899,17.9703826955075
